NM,CD,GUBUN,2018전체점포,2018프랜차이즈,2018일반,2019전체점포,2019프랜차이즈,2019일반,2020전체점포,2020프랜차이즈,2020일반
서울시 전체,11,si,10295,2096,8199,10208,2185,8023,10366,1715,8651
종로구,11110,gu,331,64,267,347,81,266,347,58,289
청운효자동,11110515,dong,11,2,9,12,2,10,12,2,10
사직동,11110530,dong,26,4,22,27,6,21,30,4,26
삼청동,11110540,dong,7,2,5,6,2,4,8,0,8
부암동,11110550,dong,14,3,11,14,4,10,12,3,9
평창동,11110560,dong,14,3,11,14,3,11,14,2,12
무악동,11110570,dong,3,0,3,4,1,3,4,1,3
교남동,11110580,dong,16,6,10,15,7,8,16,6,10
가회동,11110600,dong,8,0,8,9,1,8,9,1,8
종로1.2.3.4가동,11110615,dong,104,21,83,111,28,83,117,22,95
종로5.6가동,11110630,dong,25,2,23,26,3,23,26,2,24
이화동,11110640,dong,18,4,14,21,5,16,19,2,17
혜화동,11110650,dong,37,9,28,38,11,27,33,7,26
창신1동,11110670,dong,9,2,7,9,2,7,7,2,5
창신2동,11110680,dong,3,1,2,4,1,3,4,1,3
창신3동,11110690,dong,2,0,2,2,0,2,3,0,3
숭인1동,11110700,dong,8,2,6,8,2,6,8,1,7
숭인2동,11110710,dong,26,3,23,27,3,24,25,2,23
중구,11140,gu,432,102,330,427,109,318,450,90,360
소공동,11140520,dong,53,14,39,51,14,37,52,8,44
회현동,11140540,dong,43,18,25,45,19,26,60,15,45
명동,11140550,dong,88,25,63,86,27,59,91,22,69
필동,11140570,dong,29,4,25,32,4,28,31,3,28
장충동,11140580,dong,18,3,15,17,3,14,16,5,11
광희동,11140590,dong,46,10,36,49,12,37,55,12,43
을지로동,11140605,dong,31,8,23,29,8,21,34,8,26
신당동,11140615,dong,38,7,31,34,9,25,32,6,26
다산동,11140625,dong,16,3,13,17,4,13,17,2,15
약수동,11140635,dong,15,4,11,12,3,9,12,4,8
청구동,11140645,dong,7,0,7,6,0,6,6,0,6
신당5동,11140650,dong,7,0,7,9,1,8,7,0,7
동화동,11140665,dong,13,3,10,13,3,10,10,2,8
황학동,11140670,dong,14,2,12,13,2,11,13,3,10
중림동,11140680,dong,14,1,13,14,0,14,14,0,14
용산구,11170,gu,295,66,229,289,65,224,303,53,250
후암동,11170510,dong,18,4,14,17,4,13,19,3,16
용산2가동,11170520,dong,17,5,12,18,6,12,20,6,14
남영동,11170530,dong,32,6,26,31,6,25,33,4,29
청파동,11170555,dong,28,6,22,27,6,21,27,5,22
원효로1동,11170560,dong,21,3,18,21,3,18,19,3,16
원효로2동,11170570,dong,16,4,12,15,4,11,15,3,12
효창동,11170580,dong,10,3,7,10,3,7,9,2,7
용문동,11170590,dong,7,2,5,7,2,5,8,2,6
한강로동,11170625,dong,46,13,33,45,12,33,47,7,40
이촌1동,11170630,dong,11,1,10,13,1,12,16,4,12
이촌2동,11170640,dong,5,1,4,4,1,3,6,3,3
이태원1동,11170650,dong,25,3,22,25,2,23,26,2,24
이태원2동,11170660,dong,15,3,12,14,3,11,13,2,11
한남동,11170685,dong,25,8,17,23,8,15,26,5,21
서빙고동,11170690,dong,8,2,6,9,2,7,9,2,7
보광동,11170700,dong,11,2,9,10,2,8,10,0,10
성동구,11200,gu,325,78,247,311,79,232,318,56,262
왕십리2동,11200520,dong,10,1,9,10,1,9,10,0,10
왕십리도선동,11200535,dong,35,7,28,32,6,26,28,5,23
마장동,11200540,dong,14,2,12,15,2,13,19,1,18
사근동,11200550,dong,34,8,26,34,9,25,34,10,24
행당1동,11200560,dong,18,8,10,18,9,9,17,9,8
행당2동,11200570,dong,8,1,7,7,0,7,8,0,8
응봉동,11200580,dong,4,0,4,3,0,3,4,0,4
금호1가동,11200590,dong,11,1,10,8,0,8,9,1,8
금호2.3가동,11200615,dong,13,1,12,13,1,12,15,1,14
금호4가동,11200620,dong,8,2,6,9,3,6,7,2,5
옥수동,11200645,dong,17,0,17,11,0,11,13,1,12
성수1가1동,11200650,dong,21,7,14,23,6,17,23,3,20
성수1가2동,11200660,dong,29,10,19,29,10,19,30,9,21
성수2가1동,11200670,dong,26,10,16,23,8,15,22,3,19
성수2가3동,11200690,dong,53,17,36,53,21,32,56,9,47
송정동,11200720,dong,6,1,5,8,2,6,8,0,8
용답동,11200790,dong,18,2,16,15,1,14,15,2,13
광진구,11215,gu,409,101,308,396,97,299,388,69,319
화양동,11215710,dong,63,13,50,63,14,49,60,13,47
군자동,11215730,dong,28,9,19,27,9,18,30,2,28
중곡1동,11215740,dong,15,3,12,16,4,12,15,0,15
중곡2동,11215750,dong,26,7,19,24,7,17,27,8,19
중곡3동,11215760,dong,20,5,15,20,7,13,17,4,13
중곡4동,11215770,dong,25,7,18,22,5,17,20,3,17
능동,11215780,dong,20,5,15,17,4,13,21,4,17
광장동,11215810,dong,28,5,23,25,5,20,20,2,18
자양1동,11215820,dong,27,4,23,24,4,20,22,3,19
자양2동,11215830,dong,21,5,16,21,3,18,20,4,16
자양3동,11215840,dong,28,4,24,27,4,23,28,2,26
자양4동,11215847,dong,33,11,22,33,10,23,30,7,23
구의1동,11215850,dong,28,8,20,29,6,23,28,5,23
구의2동,11215860,dong,16,4,12,18,4,14,18,3,15
구의3동,11215870,dong,31,11,20,30,11,19,32,9,23
동대문구,11230,gu,394,75,319,379,69,310,386,64,322
용신동,11230536,dong,61,12,49,54,10,44,51,7,44
제기동,11230545,dong,27,4,23,27,3,24,30,3,27
전농1동,11230560,dong,30,5,25,29,5,24,29,5,24
전농2동,11230570,dong,15,4,11,16,4,12,16,2,14
답십리1동,11230600,dong,32,3,29,30,2,28,33,3,30
답십리2동,11230610,dong,16,1,15,17,1,16,16,2,14
장안1동,11230650,dong,54,13,41,56,15,41,54,15,39
장안2동,11230660,dong,34,4,30,34,5,29,38,4,34
청량리동,11230705,dong,17,5,12,16,4,12,17,4,13
회기동,11230710,dong,25,5,20,22,4,18,23,3,20
휘경1동,11230720,dong,17,6,11,16,5,11,18,4,14
휘경2동,11230730,dong,16,2,14,17,2,15,17,2,15
이문1동,11230740,dong,36,8,28,33,7,26,31,6,25
이문2동,11230750,dong,14,3,11,12,2,10,13,4,9
중랑구,11260,gu,296,58,238,302,59,243,311,45,266
면목2동,11260520,dong,21,6,15,21,6,15,22,3,19
면목4동,11260540,dong,13,1,12,11,1,10,14,2,12
면목5동,11260550,dong,6,1,5,6,1,5,7,0,7
면목본동,11260565,dong,29,3,26,30,4,26,30,4,26
면목7동,11260570,dong,17,6,11,17,6,11,18,6,12
면목3.8동,11260575,dong,20,4,16,21,4,17,20,2,18
상봉1동,11260580,dong,15,5,10,17,5,12,14,3,11
상봉2동,11260590,dong,35,9,26,37,9,28,36,7,29
중화1동,11260600,dong,18,1,17,20,2,18,18,2,16
중화2동,11260610,dong,15,2,13,15,2,13,20,1,19
묵1동,11260620,dong,23,4,19,22,3,19,22,4,18
묵2동,11260630,dong,13,2,11,14,2,12,17,1,16
망우본동,11260655,dong,31,4,27,29,4,25,31,2,29
망우3동,11260660,dong,11,1,10,11,1,10,12,1,11
신내1동,11260680,dong,20,7,13,22,7,15,20,4,16
신내2동,11260690,dong,9,2,7,9,2,7,10,3,7
성북구,11290,gu,361,59,302,357,62,295,356,51,305
성북동,11290525,dong,18,8,10,15,7,8,17,5,12
삼선동,11290555,dong,36,5,31,36,7,29,32,4,28
동선동,11290575,dong,41,8,33,42,8,34,37,7,30
돈암1동,11290580,dong,7,0,7,7,0,7,7,1,6
돈암2동,11290590,dong,4,0,4,5,1,4,5,1,4
안암동,11290600,dong,49,2,47,49,2,47,47,2,45
보문동,11290610,dong,19,5,14,18,5,13,17,3,14
정릉1동,11290620,dong,11,2,9,14,2,12,15,1,14
정릉2동,11290630,dong,15,4,11,14,4,10,16,4,12
정릉3동,11290640,dong,13,1,12,15,2,13,15,1,14
정릉4동,11290650,dong,15,2,13,15,2,13,18,4,14
길음1동,11290660,dong,6,1,5,6,1,5,7,1,6
길음2동,11290685,dong,7,3,4,5,2,3,8,3,5
종암동,11290705,dong,28,3,25,27,3,24,27,2,25
월곡1동,11290715,dong,16,0,16,16,1,15,13,0,13
월곡2동,11290725,dong,25,8,17,23,7,16,24,5,19
장위1동,11290760,dong,11,1,10,11,1,10,12,1,11
장위2동,11290770,dong,11,2,9,9,2,7,8,1,7
장위3동,11290780,dong,5,1,4,3,1,2,8,3,5
석관동,11290810,dong,24,3,21,27,4,23,23,2,21
강북구,11305,gu,267,50,217,273,50,223,272,36,236
삼양동,11305534,dong,14,0,14,13,0,13,13,1,12
미아동,11305535,dong,32,15,17,34,15,19,32,9,23
송중동,11305545,dong,25,4,21,26,5,21,28,3,25
송천동,11305555,dong,27,5,22,26,4,22,23,4,19
삼각산동,11305575,dong,8,2,6,8,2,6,9,1,8
번1동,11305590,dong,33,6,27,33,5,28,30,2,28
번2동,11305600,dong,7,0,7,7,0,7,7,0,7
번3동,11305606,dong,8,1,7,8,1,7,11,3,8
수유1동,11305610,dong,19,4,15,18,4,14,23,6,17
수유2동,11305620,dong,18,3,15,19,3,16,17,3,14
수유3동,11305630,dong,33,4,29,35,5,30,35,1,34
우이동,11305645,dong,15,1,14,19,1,18,17,1,16
인수동,11305660,dong,28,5,23,27,5,22,27,2,25
도봉구,11320,gu,219,35,184,220,39,181,232,31,201
창1동,11320511,dong,15,1,14,13,1,12,15,2,13
창2동,11320512,dong,19,3,16,20,3,17,22,4,18
창3동,11320513,dong,11,3,8,10,3,7,14,1,13
창4동,11320514,dong,17,4,13,20,6,14,18,4,14
창5동,11320515,dong,18,3,15,19,3,16,19,3,16
도봉1동,11320521,dong,23,6,17,20,5,15,22,5,17
도봉2동,11320522,dong,13,0,13,14,1,13,14,0,14
쌍문1동,11320660,dong,18,4,14,17,5,12,18,3,15
쌍문2동,11320670,dong,14,1,13,12,0,12,13,0,13
쌍문3동,11320680,dong,16,4,12,16,4,12,14,3,11
쌍문4동,11320681,dong,10,1,9,10,1,9,11,1,10
방학1동,11320690,dong,24,4,20,27,6,21,25,2,23
방학2동,11320700,dong,12,1,11,12,1,11,16,2,14
방학3동,11320710,dong,9,0,9,10,0,10,11,1,10
노원구,11350,gu,350,63,287,355,65,290,356,56,300
월계1동,11350560,dong,36,6,30,37,7,30,33,6,27
월계2동,11350570,dong,18,6,12,19,6,13,18,5,13
월계3동,11350580,dong,9,2,7,8,1,7,10,2,8
공릉1동,11350595,dong,48,7,41,45,6,39,45,5,40
공릉2동,11350600,dong,41,9,32,37,8,29,38,6,32
하계1동,11350611,dong,21,2,19,21,2,19,20,4,16
하계2동,11350612,dong,4,1,3,5,1,4,5,0,5
중계본동,11350619,dong,14,3,11,12,2,10,15,3,12
중계1동,11350621,dong,14,1,13,14,1,13,13,0,13
중계4동,11350624,dong,11,4,7,14,5,9,12,4,8
중계2.3동,11350625,dong,9,1,8,9,1,8,10,1,9
상계1동,11350630,dong,27,2,25,26,2,24,25,1,24
상계2동,11350640,dong,25,6,19,32,7,25,31,4,27
상계3.4동,11350665,dong,15,3,12,16,5,11,17,3,14
상계5동,11350670,dong,12,3,9,13,3,10,17,4,13
상계6.7동,11350695,dong,28,5,23,28,6,22,28,6,22
상계8동,11350700,dong,6,0,6,5,0,5,5,0,5
상계9동,11350710,dong,7,1,6,9,1,8,9,1,8
상계10동,11350720,dong,5,1,4,5,1,4,5,1,4
은평구,11380,gu,357,63,294,359,64,295,374,61,313
녹번동,11380510,dong,26,6,20,28,6,22,31,2,29
불광1동,11380520,dong,13,3,10,15,4,11,14,5,9
불광2동,11380530,dong,25,4,21,24,3,21,29,5,24
갈현1동,11380551,dong,21,3,18,20,4,16,20,3,17
갈현2동,11380552,dong,34,6,28,33,6,27,33,6,27
구산동,11380560,dong,24,4,20,22,3,19,23,3,20
대조동,11380570,dong,33,6,27,34,6,28,36,5,31
응암1동,11380580,dong,27,5,22,25,5,20,25,6,19
응암2동,11380590,dong,4,0,4,4,0,4,6,1,5
응암3동,11380600,dong,28,8,20,33,9,24,34,9,25
역촌동,11380625,dong,41,5,36,39,4,35,42,6,36
신사1동,11380631,dong,20,4,16,20,3,17,19,2,17
신사2동,11380632,dong,12,2,10,12,2,10,10,2,8
증산동,11380640,dong,16,2,14,15,3,12,12,2,10
수색동,11380650,dong,1,1,0,1,1,0,1,0,1
진관동,11380690,dong,32,4,28,34,5,29,39,4,35
서대문구,11410,gu,294,47,247,311,61,250,326,53,273
천연동,11410520,dong,10,2,8,12,3,9,14,3,11
북아현동,11410555,dong,8,3,5,9,3,6,8,0,8
충현동,11410565,dong,27,3,24,28,3,25,32,3,29
신촌동,11410585,dong,82,19,63,84,27,57,85,17,68
연희동,11410615,dong,37,8,29,39,9,30,41,10,31
홍제1동,11410620,dong,14,1,13,15,1,14,18,1,17
홍제3동,11410640,dong,11,0,11,13,1,12,13,1,12
홍제2동,11410655,dong,4,0,4,5,1,4,6,1,5
홍은1동,11410660,dong,10,2,8,11,2,9,12,2,10
홍은2동,11410685,dong,20,2,18,21,3,18,23,3,20
남가좌1동,11410690,dong,8,0,8,8,0,8,9,1,8
남가좌2동,11410700,dong,21,2,19,25,3,22,23,3,20
북가좌1동,11410710,dong,10,1,9,10,1,9,11,3,8
북가좌2동,11410720,dong,32,4,28,31,4,27,31,5,26
마포구,11440,gu,555,114,441,543,120,423,543,95,448
아현동,11440555,dong,22,4,18,23,3,20,25,2,23
공덕동,11440565,dong,30,9,21,29,9,20,28,8,20
도화동,11440585,dong,22,1,21,23,2,21,24,2,22
용강동,11440590,dong,29,8,21,26,7,19,28,6,22
대흥동,11440600,dong,41,8,33,40,8,32,40,5,35
염리동,11440610,dong,9,3,6,10,3,7,9,3,6
신수동,11440630,dong,17,3,14,18,3,15,17,3,14
서강동,11440655,dong,41,5,36,41,5,36,34,4,30
서교동,11440660,dong,132,33,99,124,35,89,125,27,98
합정동,11440680,dong,29,7,22,28,7,21,29,7,22
망원1동,11440690,dong,25,5,20,25,8,17,26,8,18
망원2동,11440700,dong,18,2,16,17,2,15,18,1,17
연남동,11440710,dong,26,5,21,26,5,21,25,3,22
성산1동,11440720,dong,31,7,24,28,7,21,28,4,24
성산2동,11440730,dong,30,2,28,32,2,30,36,1,35
상암동,11440740,dong,53,12,41,53,14,39,51,11,40
양천구,11470,gu,316,71,245,316,77,239,318,60,258
목1동,11470510,dong,36,5,31,37,6,31,35,6,29
목2동,11470520,dong,25,7,18,28,10,18,27,6,21
목3동,11470530,dong,17,2,15,17,3,14,17,2,15
목4동,11470540,dong,21,6,15,20,5,15,19,4,15
목5동,11470550,dong,19,3,16,19,5,14,19,1,18
신월1동,11470560,dong,16,3,13,16,3,13,14,1,13
신월2동,11470570,dong,9,2,7,9,1,8,9,1,8
신월3동,11470580,dong,11,1,10,11,1,10,12,0,12
신월4동,11470590,dong,15,3,12,17,2,15,16,3,13
신월5동,11470600,dong,16,3,13,19,4,15,19,4,15
신월6동,11470610,dong,6,3,3,5,3,2,10,4,6
신월7동,11470611,dong,13,6,7,13,6,7,16,5,11
신정1동,11470620,dong,10,3,7,10,3,7,10,3,7
신정2동,11470630,dong,12,1,11,11,1,10,13,2,11
신정3동,11470640,dong,19,6,13,19,6,13,19,4,15
신정4동,11470650,dong,48,12,36,43,12,31,42,11,31
신정6동,11470670,dong,12,2,10,11,2,9,12,2,10
신정7동,11470680,dong,11,3,8,11,4,7,9,1,8
강서구,11500,gu,548,115,433,558,126,432,572,92,480
염창동,11500510,dong,25,3,22,27,3,24,30,5,25
등촌1동,11500520,dong,31,5,26,35,6,29,36,4,32
등촌2동,11500530,dong,11,2,9,10,3,7,9,1,8
등촌3동,11500535,dong,29,8,21,28,9,19,27,5,22
화곡1동,11500540,dong,60,9,51,58,10,48,59,5,54
화곡2동,11500550,dong,12,5,7,11,4,7,12,3,9
화곡3동,11500560,dong,13,2,11,16,3,13,15,4,11
화곡4동,11500570,dong,16,4,12,17,4,13,17,2,15
화곡본동,11500590,dong,25,6,19,28,6,22,28,3,25
화곡6동,11500591,dong,36,6,30,32,6,26,31,7,24
화곡8동,11500593,dong,15,2,13,15,2,13,15,1,14
가양1동,11500603,dong,87,15,72,82,15,67,86,10,76
가양2동,11500604,dong,5,1,4,6,1,5,6,0,6
가양3동,11500605,dong,3,1,2,8,3,5,7,1,6
발산1동,11500611,dong,24,6,18,34,11,23,43,6,37
우장산동,11500615,dong,30,9,21,27,10,17,24,7,17
공항동,11500620,dong,44,11,33,45,12,33,47,13,34
방화1동,11500630,dong,36,8,28,32,7,25,34,6,28
방화2동,11500640,dong,27,7,20,27,6,21,27,5,22
방화3동,11500641,dong,19,5,14,20,5,15,19,4,15
구로구,11530,gu,357,74,283,360,73,287,369,50,319
신도림동,11530510,dong,31,10,21,31,11,20,35,9,26
구로1동,11530520,dong,11,2,9,10,2,8,13,2,11
구로2동,11530530,dong,25,5,20,28,6,22,28,2,26
구로3동,11530540,dong,71,13,58,72,14,58,68,7,61
구로4동,11530550,dong,18,4,14,19,4,15,20,1,19
구로5동,11530560,dong,31,5,26,29,3,26,31,3,28
가리봉동,11530595,dong,17,5,12,14,4,10,14,3,11
고척1동,11530720,dong,12,3,9,15,3,12,14,3,11
고척2동,11530730,dong,23,5,18,23,6,17,23,4,19
개봉1동,11530740,dong,21,5,16,21,3,18,22,4,18
개봉2동,11530750,dong,11,2,9,12,2,10,12,1,11
개봉3동,11530760,dong,11,2,9,9,2,7,9,0,9
오류1동,11530770,dong,27,6,21,23,6,17,24,6,18
오류2동,11530780,dong,25,4,21,30,4,26,34,3,31
수궁동,11530790,dong,23,3,20,24,3,21,22,2,20
금천구,11545,gu,255,44,211,280,46,234,303,30,273
가산동,11545510,dong,104,18,86,112,19,93,124,12,112
독산1동,11545610,dong,33,5,28,42,5,37,45,4,41
독산2동,11545620,dong,14,2,12,15,4,11,15,2,13
독산3동,11545630,dong,17,1,16,19,1,18,23,2,21
독산4동,11545640,dong,13,0,13,14,0,14,15,0,15
시흥1동,11545670,dong,39,12,27,41,11,30,42,6,36
시흥2동,11545680,dong,3,0,3,4,0,4,3,0,3
시흥3동,11545690,dong,9,1,8,9,1,8,9,0,9
시흥4동,11545700,dong,11,1,10,12,1,11,11,1,10
시흥5동,11545710,dong,12,4,8,12,4,8,16,3,13
영등포구,11560,gu,507,90,417,487,96,391,530,90,440
영등포본동,11560515,dong,23,5,18,20,5,15,21,3,18
영등포동,11560535,dong,72,14,58,67,16,51,68,13,55
여의동,11560540,dong,96,21,75,97,26,71,108,25,83
당산1동,11560550,dong,33,5,28,33,6,27,37,5,32
당산2동,11560560,dong,40,3,37,38,3,35,42,2,40
도림동,11560585,dong,13,2,11,11,2,9,12,3,9
문래동,11560605,dong,40,8,32,39,9,30,45,12,33
양평1동,11560610,dong,20,2,18,18,1,17,22,4,18
양평2동,11560620,dong,39,3,36,37,4,33,38,5,33
신길1동,11560630,dong,18,3,15,16,2,14,17,0,17
신길3동,11560650,dong,10,1,9,10,1,9,11,0,11
신길4동,11560660,dong,6,1,5,5,1,4,5,0,5
신길5동,11560670,dong,7,1,6,7,1,6,9,0,9
신길6동,11560680,dong,12,0,12,13,0,13,15,1,14
신길7동,11560690,dong,13,5,8,13,5,8,16,5,11
대림1동,11560700,dong,17,2,15,15,1,14,14,2,12
대림2동,11560710,dong,19,7,12,19,7,12,20,4,16
대림3동,11560720,dong,29,7,22,29,6,23,30,6,24
동작구,11590,gu,344,51,293,340,50,290,341,44,297
노량진1동,11590510,dong,42,4,38,43,4,39,40,3,37
노량진2동,11590520,dong,22,5,17,19,4,15,18,2,16
상도1동,11590530,dong,47,11,36,48,10,38,50,5,45
상도2동,11590540,dong,22,1,21,19,2,17,16,1,15
상도3동,11590550,dong,12,0,12,12,0,12,12,0,12
상도4동,11590560,dong,14,1,13,14,1,13,14,2,12
흑석동,11590605,dong,27,6,21,28,6,22,29,8,21
사당1동,11590620,dong,30,5,25,28,3,25,27,3,24
사당2동,11590630,dong,23,2,21,27,3,24,27,1,26
사당3동,11590640,dong,13,1,12,13,1,12,13,1,12
사당4동,11590650,dong,10,2,8,9,1,8,9,0,9
사당5동,11590651,dong,6,1,5,6,1,5,9,1,8
대방동,11590660,dong,36,6,30,36,7,29,36,8,28
신대방1동,11590670,dong,9,1,8,10,1,9,11,1,10
신대방2동,11590680,dong,31,5,26,28,6,22,30,8,22
관악구,11620,gu,471,87,384,475,95,380,459,59,400
보라매동,11620525,dong,16,3,13,21,5,16,17,3,14
청림동,11620545,dong,7,1,6,7,0,7,7,0,7
성현동,11620565,dong,11,2,9,10,2,8,9,1,8
행운동,11620575,dong,35,6,29,36,8,28,31,6,25
낙성대동,11620585,dong,23,3,20,26,4,22,28,2,26
청룡동,11620595,dong,43,7,36,42,6,36,43,6,37
은천동,11620605,dong,24,9,15,24,10,14,24,6,18
중앙동,11620615,dong,20,2,18,19,2,17,20,2,18
인헌동,11620625,dong,21,4,17,22,4,18,22,4,18
남현동,11620630,dong,22,4,18,20,4,16,19,4,15
서원동,11620645,dong,27,4,23,28,5,23,27,2,25
신원동,11620655,dong,10,3,7,10,3,7,10,0,10
서림동,11620665,dong,22,3,19,25,5,20,22,0,22
신사동,11620685,dong,27,2,25,25,2,23,24,1,23
신림동,11620695,dong,44,8,36,39,8,31,37,4,33
난향동,11620715,dong,4,0,4,4,0,4,3,0,3
조원동,11620725,dong,23,4,19,22,4,18,24,4,20
대학동,11620735,dong,43,13,30,43,14,29,42,11,31
삼성동,11620745,dong,7,0,7,9,0,9,9,0,9
미성동,11620765,dong,21,7,14,21,7,14,22,2,20
난곡동,11620775,dong,21,2,19,22,2,20,19,1,18
서초구,11650,gu,558,122,436,526,121,405,518,96,422
서초1동,11650510,dong,35,4,31,34,5,29,34,4,30
서초2동,11650520,dong,44,12,32,40,10,30,42,10,32
서초3동,11650530,dong,86,19,67,81,19,62,77,13,64
서초4동,11650531,dong,37,15,22,35,13,22,35,11,24
잠원동,11650540,dong,37,6,31,32,3,29,28,3,25
반포본동,11650550,dong,7,2,5,8,3,5,7,1,6
반포1동,11650560,dong,28,1,27,29,3,26,27,2,25
반포2동,11650570,dong,9,3,6,7,3,4,7,4,3
반포3동,11650580,dong,8,2,6,9,2,7,10,1,9
반포4동,11650581,dong,42,15,27,40,15,25,45,8,37
방배본동,11650590,dong,24,5,19,20,4,16,21,4,17
방배1동,11650600,dong,17,3,14,18,4,14,21,4,17
방배2동,11650610,dong,27,8,19,25,8,17,25,6,19
방배3동,11650620,dong,17,3,14,18,3,15,18,2,16
방배4동,11650621,dong,25,5,20,25,5,20,22,3,19
양재1동,11650651,dong,50,7,43,46,8,38,43,8,35
양재2동,11650652,dong,53,9,44,46,9,37,43,9,34
내곡동,11650660,dong,12,3,9,13,4,9,13,3,10
강남구,11680,gu,991,220,771,976,231,745,951,172,779
신사동,11680510,dong,50,8,42,44,8,36,42,7,35
논현1동,11680521,dong,83,16,67,80,14,66,79,12,67
논현2동,11680531,dong,78,13,65,77,14,63,74,8,66
압구정동,11680545,dong,56,10,46,57,10,47,55,9,46
청담동,11680565,dong,60,10,50,55,9,46,54,5,49
삼성1동,11680580,dong,57,18,39,55,19,36,58,16,42
삼성2동,11680590,dong,55,10,45,51,11,40,52,8,44
대치1동,11680600,dong,23,8,15,23,8,15,21,4,17
대치2동,11680610,dong,50,16,34,49,15,34,47,13,34
대치4동,11680630,dong,66,15,51,61,14,47,61,12,49
역삼1동,11680640,dong,191,48,143,200,55,145,192,38,154
역삼2동,11680650,dong,56,13,43,54,11,43,54,7,47
도곡1동,11680655,dong,28,3,25,29,4,25,26,3,23
도곡2동,11680656,dong,24,5,19,25,7,18,24,4,20
개포1동,11680660,dong,2,1,1,2,1,1,2,0,2
개포2동,11680670,dong,12,2,10,11,2,9,10,1,9
개포4동,11680690,dong,29,9,20,32,12,20,27,8,19
세곡동,11680700,dong,22,3,19,22,3,19,22,2,20
일원본동,11680720,dong,11,3,8,10,4,6,12,4,8
일원1동,11680730,dong,12,1,11,12,1,11,12,2,10
일원2동,11680740,dong,7,0,7,7,0,7,8,0,8
수서동,11680750,dong,19,8,11,20,9,11,19,9,10
송파구,11710,gu,646,163,483,622,170,452,644,136,508
풍납1동,11710510,dong,9,1,8,8,1,7,8,1,7
풍납2동,11710520,dong,18,6,12,18,6,12,21,7,14
거여1동,11710531,dong,14,3,11,12,3,9,12,1,11
거여2동,11710532,dong,12,2,10,11,2,9,11,1,10
마천1동,11710540,dong,11,3,8,10,2,8,14,3,11
마천2동,11710550,dong,9,0,9,10,1,9,11,0,11
방이1동,11710561,dong,24,4,20,22,4,18,20,3,17
방이2동,11710562,dong,38,8,30,38,10,28,42,7,35
오륜동,11710566,dong,13,3,10,16,3,13,16,4,12
오금동,11710570,dong,36,9,27,40,12,28,43,9,34
송파1동,11710580,dong,26,4,22,24,4,20,27,3,24
송파2동,11710590,dong,12,5,7,13,5,8,16,6,10
석촌동,11710600,dong,47,10,37,45,10,35,45,5,40
삼전동,11710610,dong,36,12,24,36,13,23,37,13,24
가락본동,11710620,dong,44,9,35,43,9,34,41,6,35
가락1동,11710631,dong,5,2,3,6,2,4,11,1,10
가락2동,11710632,dong,19,2,17,19,2,17,20,3,17
문정1동,11710641,dong,20,4,16,15,3,12,13,2,11
문정2동,11710642,dong,69,16,53,64,16,48,71,12,59
장지동,11710646,dong,24,4,20,25,7,18,20,3,17
위례동,11710647,dong,16,5,11,14,4,10,15,4,11
잠실본동,11710650,dong,62,17,45,55,19,36,55,14,41
잠실2동,11710670,dong,24,11,13,23,10,13,23,10,13
잠실3동,11710680,dong,18,9,9,17,9,8,20,9,11
잠실4동,11710690,dong,8,3,5,6,2,4,6,2,4
잠실6동,11710710,dong,30,11,19,30,11,19,24,7,17
잠실7동,11710720,dong,2,0,2,2,0,2,2,0,2
강동구,11740,gu,417,84,333,399,80,319,399,68,331
강일동,11740515,dong,23,6,17,21,6,15,23,7,16
상일동,11740520,dong,11,0,11,11,0,11,15,1,14
명일1동,11740530,dong,18,1,17,18,1,17,17,1,16
명일2동,11740540,dong,17,3,14,18,4,14,17,3,14
고덕1동,11740550,dong,9,1,8,8,1,7,8,0,8
고덕2동,11740560,dong,6,2,4,6,2,4,8,3,5
암사1동,11740570,dong,34,7,27,32,7,25,32,6,26
암사2동,11740580,dong,10,0,10,10,0,10,11,2,9
암사3동,11740590,dong,7,0,7,7,0,7,7,0,7
천호1동,11740600,dong,24,7,17,23,6,17,25,4,21
천호2동,11740610,dong,51,12,39,48,11,37,49,7,42
천호3동,11740620,dong,30,9,21,29,9,20,27,8,19
성내1동,11740640,dong,26,5,21,23,4,19,21,2,19
성내2동,11740650,dong,25,4,21,26,4,22,25,4,21
성내3동,11740660,dong,35,6,29,31,5,26,31,6,25
길동,11740685,dong,65,13,52,62,14,48,58,10,48
둔촌1동,11740690,dong,3,1,2,4,1,3,5,1,4
둔촌2동,11740700,dong,23,7,16,22,5,17,20,3,17
