이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
우이동,11305645,68861,1390,1681,2855,2879,3408,3691,3060,2111,711,3407,2276,1856,1392,2360.134,26453.4,15,48,12,363,0,1,6,20,1,3,84864169
인수동,11305660,63163,2032,2539,4453,4511,5022,5685,4597,2996,1075,5247,3459,2738,2091,3897.557,21506.47,28,49,11,240,3,2,5,11,4,0,37846162
창1동,11320511,107254,1981,2571,3605,3977,4706,4392,3106,1894,728,3368,2470,2347,2156,1458.283,24570.26,15,31,0,170,2,3,7,13,5,1,82524399
창2동,11320512,80417,2340,2732,4562,4834,5144,5394,3631,2137,728,3514,2955,2741,2369,3721.867,18919.96,19,32,0,179,4,9,5,11,2,0,63040542
창3동,11320513,74091,1017,1277,1991,2038,2492,2682,1984,1291,432,2439,1622,1259,1005,1003.293,22075.53,11,19,0,171,1,1,3,15,0,0,31772557
창4동,11320514,218012,2154,3152,3929,3757,5043,5022,3013,1640,811,2615,2206,2349,2642,3175.472,22285.52,17,25,6,218,2,8,7,18,4,0,59789489
창5동,11320515,139074,1915,2341,3764,3912,4037,4636,3254,1698,683,2454,2234,2362,2182,5305.694,24064.9,18,28,2,265,3,5,13,19,9,1,89857658
도봉1동,11320521,69514,1167,1493,2945,2917,3325,4175,3641,2531,811,3917,2679,1830,1354,3342.228,17707.43,23,42,9,394,7,3,8,30,2,0,61962294
도봉2동,11320522,88623,1971,2076,3566,4117,4180,4898,4601,2632,969,3793,3021,2525,2029,3540.311,23122.22,13,34,4,242,2,3,3,12,5,2,31337536
쌍문1동,11320660,88584,1367,2075,3176,2799,3632,3809,2916,1946,606,2929,2191,1895,1547,2537.922,25619.88,18,35,0,152,6,2,5,3,1,0,58834495
쌍문2동,11320670,94776,1251,1754,2830,3003,3181,3492,2651,1590,641,2853,2121,1792,1366,3018.443,30361.17,14,26,5,223,6,8,7,21,2,0,57167541
쌍문3동,11320680,108029,1025,1211,2587,2648,2697,2896,2258,1562,471,2895,1798,1426,1142,2135.216,40101.15,16,32,2,161,1,4,3,7,1,0,45824107
쌍문4동,11320681,144198,1395,2286,2892,2535,3360,3660,2401,1107,506,1502,1476,1733,1944,1148.471,24023.56,10,14,0,59,0,3,0,1,9,0,75750321
방학1동,11320690,88058,1886,2628,4329,3876,4833,5626,4203,2368,757,4353,2899,2452,2167,3465.283,38789.21,24,43,3,529,13,13,30,53,1,1,98309480
방학2동,11320700,101506,1222,1883,2999,2743,3508,4029,3020,1827,632,3548,2317,1843,1411,876.973,6700.848,12,40,2,179,2,1,5,13,2,0,88851541
방학3동,11320710,58673,2288,3215,3991,3603,4883,5334,3662,1687,870,1717,2211,2621,2735,2624.677,45965.42,9,23,0,116,0,0,7,5,2,0,73209271
월계1동,11350560,103361,1611,1960,4195,3396,3737,3758,3003,1780,609,4264,2126,1766,1742,2660.817,29286.16,36,30,6,368,2,14,20,42,3,2,48718168
월계2동,11350570,88942,1888,2446,3236,3510,4439,4527,3814,2177,843,3636,2895,2217,1922,2143.544,33555.62,18,27,0,102,0,0,1,3,1,0,37449910
월계3동,11350580,128814,2938,2556,3938,5536,5187,5029,4284,2424,903,3466,3409,2963,2470,1683.986,15896.75,9,20,0,82,1,1,0,0,0,1,52182379
공릉1동,11350595,105489,2570,3296,7149,6357,5956,6250,4870,2452,872,7702,3666,3040,2732,10667.73,35357.39,48,59,7,552,9,8,18,30,4,2,46035129
공릉2동,11350600,97328,3504,5080,6757,5874,7283,6249,3976,2017,809,5087,2972,3223,3781,6121.341,45211.7,41,37,1,394,3,12,19,30,6,1,66374872
하계1동,11350611,87420,1394,4338,5658,3040,5001,5155,3044,1687,790,4620,2292,2228,2551,8096.626,18205.85,21,27,0,209,2,3,2,4,7,0,56591822
하계2동,11350612,128814,1733,3340,3384,2823,4582,4112,2138,1281,609,1545,1722,2048,2391,647.1061,46955.47,4,12,0,45,0,2,0,0,3,1,28263165
중계본동,11350619,152734,1724,4955,3780,2094,5850,4802,2097,1119,545,2127,1367,1947,2916,2342.972,37286.08,14,26,0,210,1,4,7,8,12,0,68108330
중계1동,11350621,210576,2034,6172,3354,2099,7210,4427,1722,1001,461,1391,1275,2253,3454,1562.622,15327.16,14,23,0,159,0,4,1,4,13,0,63248320
중계4동,11350624,143662,1402,2699,2764,2391,4017,3614,2573,1686,630,2338,1931,1702,1940,2399.048,24630.01,11,27,0,256,0,5,10,25,7,0,54384989
중계2.3동,11350625,208505,2698,3971,4687,5068,6829,5873,4557,3133,1316,4599,3880,3267,2977,2800.978,28808.52,9,42,0,173,1,1,2,2,1,1,1.21E+08
상계1동,11350630,117448,2860,3924,5924,5573,6580,7361,5104,2737,1076,4242,3499,3366,3431,6777.946,16902.53,27,44,2,410,3,9,17,36,6,1,54091082
상계2동,11350640,151481,1199,2229,3630,2614,3554,4076,2559,1339,520,3003,1675,1643,1891,4511.057,19063.3,25,58,0,686,3,11,25,66,11,1,1.30E+08
상계3.4동,11350665,82843,1488,2392,3285,3073,4331,4921,3923,2698,927,4541,2793,2074,1817,3413.984,43664.92,15,56,3,245,0,5,12,22,4,1,43406546
상계5동,11350670,94242,1430,2580,3762,3160,4351,4810,3369,2210,812,3812,2622,2202,1937,2086.638,13268.64,12,34,5,234,0,10,9,16,6,1,45182682
상계6.7동,11350695,158613,3139,3721,4881,5548,6448,5637,3504,1823,872,4021,3133,3136,3055,6852.535,24158.05,28,35,14,311,3,4,11,24,9,0,73827405
상계8동,11350700,185570,3049,2606,2653,5523,4321,2948,2050,1084,498,2107,2176,2365,2191,1147.821,32736.36,6,11,0,62,0,2,0,4,2,1,88389112
상계9동,11350710,156429,1800,2593,2860,3248,4090,3604,2540,1269,558,1965,2050,2040,2016,1269.257,15712.31,7,18,0,70,0,1,1,3,6,0,63105192
상계10동,11350720,128814,1235,1715,2501,2798,2956,2842,1892,813,410,1679,1622,1634,1420,1000.695,28690.11,5,12,0,30,1,2,1,5,2,0,32735135
녹번동,11380510,96273,2226,2447,4406,5223,5388,5453,4144,2746,954,5957,3332,2656,2140,6651.87,21976.62,26,52,8,313,5,8,9,18,1,2,54243217
불광1동,11380520,117929,3103,3185,5683,6363,6831,6995,4989,3393,1277,6079,4123,3680,2885,2793.943,27772.71,13,24,5,228,0,4,4,17,4,1,46448386
불광2동,11380530,104358,1558,2316,4376,4435,4726,5196,3965,2583,855,5506,3267,2424,1824,2812.485,20252.75,25,58,13,343,5,8,8,9,1,1,65003032
갈현1동,11380551,95771,1336,2115,3956,3631,4015,4347,3208,1989,624,4263,2622,2082,1607,2379.507,27107,21,38,9,414,3,10,15,41,4,0,55514444
갈현2동,11380552,109404,2010,3163,4467,4643,5241,4993,3410,2130,740,3971,2893,2677,2227,3136.811,31173.73,34,54,1,379,2,10,14,32,5,0,41367419
구산동,11380560,83293,2272,3186,4554,4621,5643,5701,4286,2587,915,3606,2990,2764,2512,4423.94,53905.27,24,41,1,146,0,0,1,4,5,1,59621074
대조동,11380570,102072,1901,2443,5275,5471,5249,5185,3906,2635,853,7258,3435,2477,1935,3504.551,30072.72,33,66,46,548,0,8,14,33,3,1,74305258
응암1동,11380580,115080,1883,2773,3404,4177,4641,3820,2873,1879,678,4411,2425,1993,1784,4138.783,8875.764,27,35,7,280,1,5,9,16,10,0,68752411
응암2동,11380590,85725,2362,1981,2319,3728,4063,2998,2166,1383,468,2432,1866,1871,1698,1376.771,12904.13,4,9,0,70,0,0,3,6,0,0,10179624
응암3동,11380600,93465,1311,2042,3672,3707,4172,4564,3514,2535,930,5511,2799,2060,1549,2043.734,18842.92,28,53,12,468,5,10,20,42,6,0,91070231
역촌동,11380625,92550,3665,4413,6910,8140,8593,8009,5749,3617,1193,7012,4730,4278,3613,4208.903,18459.05,41,56,4,456,0,16,16,27,10,0,59876717
신사1동,11380631,93935,1883,2384,3967,4431,4591,4575,3391,2127,670,3432,2662,2432,2085,2100.26,7100.948,20,28,2,195,4,9,8,19,3,1,76134577
신사2동,11380632,75108,1453,2065,3027,3272,3622,3756,2845,1567,572,2937,2108,1835,1651,1718.893,24372.54,12,22,0,96,3,0,2,1,2,1,48263820
증산동,11380640,63743,1041,1389,2204,2275,2659,2857,2259,1400,468,2381,1646,1294,1203,2031.261,17718.08,16,23,0,192,5,3,10,10,0,1,62634102
수색동,11380650,73809,647,924,1656,1705,1815,2252,1830,1059,407,1895,1260,973,851,1551.966,20230.13,1,18,9,114,4,1,0,5,0,1,45243343
진관동,11380690,131409,5769,7211,6564,7475,11336,7821,5454,3155,1206,5079,3786,4051,5094,4423.773,18993.06,32,45,2,357,3,4,4,4,6,1,38880534
천연동,11410520,99609,1585,1733,2412,2822,3325,3075,2059,1512,651,3331,1680,1548,1399,1759.56,40322.9,10,22,3,191,0,2,6,7,3,0,54699441
북아현동,11410555,188282,1512,1234,2822,3227,2872,2942,1649,1078,407,2790,1683,1483,1295,1294.624,23694.95,8,38,5,117,0,0,3,4,2,0,42321069
충현동,11410565,108396,893,1419,2984,2723,2912,3250,2225,1416,626,4313,1677,1258,1146,24784.95,35823.58,27,37,1,474,0,2,8,13,3,2,74505272
신촌동,11410585,217905,1038,1286,10124,3747,2199,2058,1420,1039,427,8497,1480,849,669,21489.95,29758.01,82,121,74,1563,2,24,28,63,16,2,77828048
연희동,11410615,105565,2076,3171,8288,6455,6117,5803,4126,3048,1196,9375,3508,2620,2213,9058.184,32514.24,37,54,3,482,7,6,7,8,8,0,83372158
홍제1동,11410620,119428,1589,2057,3010,3356,3957,3780,2899,1947,722,3136,2246,1886,1672,1497.008,22137.15,14,37,4,199,1,3,1,14,0,0,63044336
홍제3동,11410640,104529,910,1422,2253,2090,2668,2866,2249,1617,640,2582,1636,1365,1156,1170.506,25493.17,11,31,10,250,1,1,9,11,5,1,91872039
홍제2동,11410655,121252,1009,1279,1979,2013,2376,2698,1783,1228,456,1632,1419,1271,1169,1667.142,19419.74,4,10,3,101,5,5,3,8,4,1,75391002
홍은1동,11410660,102028,1508,2245,3300,3026,3911,4240,3089,2031,817,3225,2156,1953,1829,1449.51,28623.62,10,32,3,144,0,2,5,4,5,0,62340083
홍은2동,11410685,107582,1736,2729,4514,4017,4903,4946,3494,2366,909,4687,2800,2326,2051,3519.521,13442.65,20,33,1,233,5,8,9,7,6,0,53458376
남가좌1동,11410690,202508,2443,1432,2008,2919,3206,2273,1634,978,350,1426,1162,1491,1489,1418.172,20856.15,8,34,15,163,1,0,3,5,3,1,60666779
남가좌2동,11410700,84515,1486,1981,3707,3168,3637,3666,2627,1855,714,4202,2185,1719,1516,1564.212,29268.98,21,29,1,306,2,11,10,25,4,0,38899856
북가좌1동,11410710,134330,1758,2017,2396,2909,3548,3016,2051,1334,475,1489,1597,1704,1707,1733.801,14116.31,10,11,0,57,1,1,2,0,4,0,75127729
북가좌2동,11410720,111716,2144,2967,4974,4950,5694,5807,4230,2751,930,5257,3453,2850,2428,2763.538,21182.97,32,33,3,272,1,11,12,16,6,0,55114688
아현동,11440555,206701,2706,1787,3445,5459,4134,4015,2338,1296,566,3214,2270,2350,2001,19188.44,14081.21,22,40,7,499,0,4,6,5,8,1,63541429
공덕동,11440565,103366,2585,2841,6551,7048,6551,6836,4281,2739,1086,7859,3929,3199,2701,12380.08,40403.84,30,49,4,279,1,4,10,15,1,1,48559722
도화동,11440585,172000,1719,1848,3182,4002,3701,3606,2488,1580,771,3524,2042,1823,1689,11182.77,26264.33,22,27,4,412,0,3,6,23,1,0,67191914
용강동,11440590,139479,2429,2018,2599,4102,4458,3108,1974,1283,570,3079,1926,1898,1716,17095.48,38283.94,29,32,1,416,4,3,8,25,2,1,47644461
대흥동,11440600,131515,490,852,4028,2115,1901,1839,1213,890,365,4664,1187,657,521,6079.034,16958.51,41,30,46,362,1,8,5,11,5,3,72922446
염리동,11440610,120056,654,959,2163,1593,1862,1656,1102,837,317,2349,1026,754,623,6191.801,19994.28,9,28,5,203,2,0,2,10,4,1,49842795
신수동,11440630,132489,1656,1974,3330,3609,3852,3187,2108,1409,575,3487,1851,1760,1607,3665.765,31763.57,17,24,1,190,0,0,5,4,1,0,71459455
서강동,11440655,155007,2033,2015,5021,4686,4345,3679,2160,1338,568,5036,2208,1968,1800,7463.229,23441.94,41,47,5,570,4,8,3,4,6,2,71504625
서교동,11440660,174220,1145,1527,6072,5748,4057,3148,2196,1577,675,8332,2452,1515,1198,49629.42,47133.1,132,156,23,2941,0,24,45,86,6,2,90178696
합정동,11440680,137632,1487,1155,3736,4307,2823,2596,1866,1223,461,4836,2131,1303,1026,10544.78,6176.613,29,45,8,570,4,4,4,12,0,1,78262960
망원1동,11440690,143486,1277,1571,3484,4173,3555,3156,2305,1534,553,4769,2280,1501,1287,2967.536,35100.75,25,33,2,419,0,5,10,18,2,0,64886048
망원2동,11440700,105055,1477,1882,2738,3331,3568,2814,2110,1346,451,2799,1873,1531,1535,1452.93,38330.7,18,31,0,272,3,6,3,14,2,0,53377675
연남동,11440710,124463,851,1056,3588,3672,2674,2323,1789,1144,484,4704,1834,1109,834,4958.194,16321.22,26,44,2,668,0,3,1,10,2,0,57812942
성산1동,11440720,112213,1241,1706,3206,3808,3731,2865,2085,1361,445,4030,1989,1566,1253,8334.862,12468.45,31,27,3,233,8,5,4,15,3,0,43071951
성산2동,11440730,141841,3193,4061,6273,6952,7384,5601,3988,2790,935,6940,3682,3242,3082,9830.541,30094.05,30,44,1,285,1,2,8,3,4,2,62391219
상암동,11440740,179654,3547,4503,4137,4844,7011,4320,2782,1686,672,3888,2395,2518,2807,39593.38,26370.64,53,43,0,753,1,3,8,7,0,1,73776171
목1동,11470510,152416,3132,5388,3758,3811,7379,4860,2550,1176,437,1582,1674,2791,3582,12857.31,17788.22,36,29,3,592,0,5,15,26,8,2,67452083
목2동,11470520,106250,2135,2999,5134,5846,4958,5217,3313,1520,590,4160,2767,2622,2495,2615.585,25469.66,25,29,2,200,9,7,8,15,4,1,41716898
목3동,11470530,130152,1496,1764,3567,4050,3350,3720,2494,1221,512,3263,2110,1902,1591,2390.137,26577.35,17,31,1,240,0,5,11,26,6,1,63108875
목4동,11470540,102755,1756,3954,4158,3272,5309,4732,2376,1302,483,2715,1862,2070,2629,2093,24663.38,21,33,2,282,2,5,6,17,11,0,33278909
목5동,11470550,188222,3724,7869,5111,4449,9678,6778,3574,1438,738,1612,1987,3550,5233,5508.924,21361.16,19,40,0,220,2,5,5,4,16,0,95751179
신월1동,11470560,92224,1361,1655,2964,3333,3650,4317,3214,1619,471,4129,2295,1821,1422,2751.056,11538.09,16,47,4,319,1,8,11,27,1,0,64933586
신월2동,11470570,76263,1810,2016,2922,3677,3601,3719,3215,1457,473,2342,1986,1947,1722,2161.591,40214.86,9,33,3,113,1,2,7,8,5,0,38059445
신월3동,11470580,87821,1153,1431,2389,2396,2732,3300,2296,1217,404,3811,1796,1284,963,2475.255,15157.18,11,45,0,123,5,3,6,7,0,0,70632101
신월4동,11470590,127282,1897,1854,2298,3062,3186,3146,2481,1208,399,1404,1576,1671,1661,2232.723,21803.76,15,11,0,192,4,0,6,15,0,0,50342883
신월5동,11470600,70434,1269,1431,2307,2460,2544,2711,1864,968,309,2030,1419,1331,1200,3578.128,29256.89,16,21,6,166,5,3,5,16,2,0,43557685
신월6동,11470610,80162,463,756,870,897,1131,1249,929,468,140,695,566,554,586,1148.304,19686.08,6,13,0,74,0,2,5,10,0,0,43407520
신월7동,11470611,77072,1506,1887,2963,3348,3530,3979,3177,1680,680,2803,2449,2037,1621,3031.039,34066.56,13,37,0,171,2,5,12,22,3,1,45306961
신정1동,11470620,122610,1913,3266,2683,2452,4320,3534,2002,1022,415,1399,1210,1640,2359,2622.046,33829.9,10,23,2,211,3,3,2,11,7,0,75428266
신정2동,11470630,110392,1404,3236,2925,2047,4183,3790,1982,1023,423,1546,1230,1509,2284,1652.641,30473.64,12,23,0,190,2,2,7,16,19,0,37337906
신정3동,11470640,132155,4526,5978,6093,6863,9253,8065,5258,2754,1001,4228,3882,3986,4403,6279.658,33881.23,19,44,3,248,3,4,11,23,6,1,61025285
신정4동,11470650,109967,2337,2750,5469,6272,5838,6066,4482,2384,667,6273,3515,2917,2338,7984.466,32607.46,48,63,6,489,5,12,13,66,6,1,44326945
신정6동,11470670,215697,2141,3983,3467,2920,5130,4317,2266,861,415,983,1362,2232,2927,5696.495,28246,12,14,0,63,0,2,0,0,5,0,61517015
신정7동,11470680,136951,1976,3742,4078,3488,5451,5536,3460,1817,812,2697,2413,2595,2834,2116.235,41962.83,11,20,1,147,11,6,5,7,13,0,70766365
염창동,11500510,120022,4366,4779,5411,7031,7891,5973,3601,1558,549,3033,2729,3573,4134,10879.41,41701.44,25,35,11,305,7,5,11,18,9,1,94534858
등촌1동,11500520,96292,1573,1612,4560,5481,3384,3189,1948,1046,585,5893,2088,1702,1526,26931.08,36604.52,31,23,0,321,2,3,5,22,2,1,77676754
등촌2동,11500530,83520,1596,1945,3485,3944,3259,3725,2678,1141,384,2339,1961,1887,1796,2421.354,13213.3,11,19,1,131,5,4,4,5,1,0,59102792
등촌3동,11500535,153408,1955,2872,4889,5005,4684,6143,4446,2293,1301,5153,3849,2856,2270,13888.92,26738.39,29,47,0,423,3,6,12,20,11,0,65367007
화곡1동,11500540,88548,3613,3060,8894,11990,7911,8378,6625,3391,919,11175,5827,4448,3040,4635.506,20663.88,60,81,104,614,3,11,22,62,2,1,79815032
화곡2동,11500550,74873,1689,1730,2653,3750,3568,2968,2322,1192,293,2679,1965,1710,1385,1660.238,29757.23,12,45,0,79,2,3,4,5,1,0,26794756
화곡3동,11500560,111778,1541,1851,3357,3572,3339,3742,3175,1577,477,2908,2045,1922,1641,2435.279,14030.2,13,25,0,258,1,11,15,23,5,0,65083674
화곡4동,11500570,120581,1570,1684,3180,4133,3630,3829,2994,1474,492,3493,2371,1974,1503,1847.609,34848.18,16,42,4,283,3,6,12,38,3,0,65061840
화곡본동,11500590,113590,3005,2880,5403,7265,6146,5186,3838,1945,615,6224,3618,2980,2349,2588.034,17956.77,25,49,41,266,2,6,11,14,4,0,56136461
화곡6동,11500591,110257,1616,1920,3888,4311,3853,4222,3191,1412,509,4358,2303,1987,1729,10727.76,20511.91,36,39,20,498,4,7,21,41,2,0,55462279
화곡8동,11500593,152370,1885,1954,3862,5152,4327,4142,3447,1819,479,4115,2920,2241,1770,1668.841,23890.73,15,34,0,227,0,7,7,12,3,1,52992063
가양1동,11500603,239840,2118,2228,7845,7846,4679,4421,2600,1121,421,10749,2485,2069,2004,21145.75,17023.36,87,45,0,854,15,4,20,26,1,2,47943923
가양2동,11500604,158938,631,639,2308,2825,1650,2938,2905,1426,680,3752,2167,1248,727,2224.94,12387.06,5,11,0,80,1,3,3,3,2,1,2.44E+08
가양3동,11500605,92691,942,857,2137,3256,2086,2704,2469,1400,572,2846,2368,1466,801,8165.961,19041.59,3,10,0,47,3,0,0,0,0,0,38690104
발산1동,11500611,107256,4306,5322,4678,5372,7704,5629,3423,1865,668,2436,2833,3156,3772,7282.067,23406.32,24,45,3,287,4,7,11,7,12,0,46830484
우장산동,11500615,126287,4575,5730,5637,6911,9098,6747,4769,2255,635,3749,3105,3806,4600,4972.711,15744.96,30,36,3,254,3,9,8,21,7,1,66505203
공항동,11500620,103373,2967,1860,4014,5738,4433,4359,3033,1639,561,5217,2602,2205,1887,41786.24,16164.56,44,54,5,410,16,4,11,31,1,4,66673375
방화1동,11500630,119026,5242,4321,5782,7657,7977,6886,5118,2555,897,4590,3667,3640,4000,7561.275,26880.93,36,37,4,394,3,10,16,30,5,2,80479599
방화2동,11500640,75611,1462,1750,3683,3909,3593,4002,3389,1999,739,5134,2527,1818,1407,4544.753,19045.83,27,41,8,306,3,9,11,33,1,2,34351188
방화3동,11500641,135092,1755,1765,3141,4261,3787,4113,3518,1921,823,4337,2772,2118,1522,4010.896,17056.21,19,19,0,117,0,3,1,4,0,1,39912508
신도림동,11530510,121697,4048,3658,4721,6870,6684,5367,3853,1742,592,2755,2820,3325,3447,10402.61,21892.55,31,43,1,348,1,3,5,13,5,2,77388531
구로1동,11530520,127816,2268,2185,2801,4226,3829,3252,2240,885,323,1666,1710,1876,2083,2403.243,28894.89,11,14,0,104,1,3,5,3,6,0,26746919
구로2동,11530530,113861,1851,2005,4279,5237,6565,8287,4546,2656,798,6030,2901,1949,1502,26592.04,40688.9,25,98,35,645,4,11,16,43,2,1,61497659
구로3동,11530540,171524,1913,1613,4839,6295,4483,3640,2619,1393,483,7805,2185,1694,1427,78091.54,28986.57,71,70,14,846,6,9,24,51,2,2,73845419
구로4동,11530550,126113,1537,1523,3286,4521,4620,5748,3437,1979,637,4831,2523,1733,1225,2281.133,9173.017,18,60,22,439,2,7,13,45,4,0,68968475
구로5동,11530560,86362,2536,2040,5444,6705,5356,5943,3642,1962,620,6490,2808,2340,1997,19241.06,26680.19,31,75,13,612,4,10,13,54,3,1,79571562
가리봉동,11530595,76350,618,533,1547,2268,3154,4813,2135,917,352,3796,1048,559,368,1492.239,23589.5,17,47,37,297,1,8,3,49,0,0,66118298
고척1동,11530720,101807,1728,2326,3449,3394,4023,4190,3226,1724,552,2760,2092,2025,2031,6598.554,24230.56,12,49,4,353,2,8,17,28,5,0,1.24E+08
고척2동,11530730,69820,2334,2703,3968,4131,5065,5206,3633,2058,710,3593,2600,2437,2333,2004.957,16062.34,23,37,2,225,2,2,7,18,1,0,35462568
개봉1동,11530740,93218,2547,2851,4522,5115,5576,6115,4702,2569,786,4655,3285,2740,2479,3449.508,25904.43,21,54,6,325,6,8,7,26,2,1,52201673
개봉2동,11530750,99193,2907,2699,4079,5643,5174,5352,4772,2484,718,3159,3093,2949,2643,1378.294,14159.7,11,28,5,205,0,6,4,14,5,0,73556473
개봉3동,11530760,79498,1640,1784,2857,3542,3562,3619,3014,1558,515,2464,2132,1973,1624,4790.018,11085.22,11,30,0,194,3,4,7,9,2,0,54569392
오류1동,11530770,97961,1452,1388,3665,4488,3245,3314,2811,1621,523,4707,2286,1648,1298,2450.511,9673.975,27,27,23,201,5,9,9,21,4,0,1.03E+08
오류2동,11530780,108371,4968,4204,5386,6914,7574,6536,5144,3036,1024,4345,3858,3389,3637,4838.074,12969.16,25,35,0,232,2,5,4,9,4,2,55056094
수궁동,11530790,73171,2050,2319,3340,3926,4295,4154,3303,1751,512,2603,2392,2181,1946,4157.971,7700.557,23,32,0,162,8,7,9,11,2,1,60316783
가산동,11545510,108401,1071,874,5121,5134,3535,4411,2295,1034,299,8664,1686,1141,824,151824.3,6978.961,104,96,48,1137,3,10,31,41,1,1,77413002
독산1동,11545610,101676,3074,2342,6482,7780,6053,6559,4045,2301,715,8068,3286,2707,2461,18419.19,36676.46,33,75,8,467,5,6,14,33,2,1,66525245
독산2동,11545620,77147,1313,1612,3096,3152,3663,4869,2854,1368,387,3888,2134,1663,1318,1668.058,16701,14,30,3,194,3,8,5,15,1,0,46873366
독산3동,11545630,90960,1686,1869,4014,4586,5166,7030,3913,1848,545,5392,2701,2003,1578,4518.127,20747.79,17,66,8,377,4,12,12,30,4,0,78972911
독산4동,11545640,79178,1082,1337,2531,2645,3235,4172,2424,1210,308,3215,1700,1348,1048,1734.809,27274.42,13,30,12,209,1,4,11,31,0,0,55599357
시흥1동,11545670,108348,2596,2816,4817,5750,6067,7053,4582,2577,812,5966,3404,2776,2409,11790.19,10931.21,39,56,24,620,5,12,17,50,7,1,55035845
시흥2동,11545680,154199,1934,2431,2859,2933,4065,4037,2890,1712,585,1939,2015,1895,2007,1470.812,29122.98,3,10,0,39,0,0,0,1,4,0,76434633
