이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
시흥3동,11545690,106961,747,853,1601,1697,1760,2209,1737,953,287,1389,1208,1010,838,7116.108,18242.51,9,26,2,155,7,2,4,8,0,0,58452970
시흥4동,11545700,92996,1515,1899,3120,3162,3635,4452,3060,1629,511,3018,2166,1844,1616,929.8488,49369.05,11,27,0,122,0,4,6,8,1,0,98887392
시흥5동,11545710,106072,1217,1783,2765,2712,3535,4034,2911,1883,654,3713,2212,1660,1342,1944.947,19861.26,12,43,1,185,2,5,7,17,2,0,76507807
영등포본동,11560515,130543,1894,1684,3179,4093,4225,5017,3196,1670,601,4272,2003,1804,1584,3144.931,39509.51,23,52,6,252,2,5,4,23,4,1,62285094
영등포동,11560535,128215,1284,1029,5204,5804,3475,3755,2784,1430,501,10924,2025,1257,1062,21997.05,47426.74,72,134,125,1032,7,10,35,65,2,1,53931990
여의동,11560540,187993,3142,2952,4023,5326,5509,5076,3810,2628,1163,3352,2800,2978,2782,356983.4,7189.33,96,132,5,1928,5,7,25,16,5,4,80805968
당산1동,11560550,98777,1388,1232,3394,4357,3214,3218,2558,1375,511,4962,2044,1560,1213,18402.18,19756.6,33,66,35,608,4,3,14,45,1,1,72642598
당산2동,11560560,143401,2857,2388,7198,7866,5061,4774,3348,1778,751,8178,2846,2650,2504,30314.95,32749.88,40,37,9,423,1,6,13,17,4,1,66802973
도림동,11560585,79065,1444,1222,2999,4142,3729,4292,2473,1461,532,4311,2050,1455,1108,3418.59,42103.56,13,36,1,168,2,6,5,14,3,0,54897711
문래동,11560605,114516,3485,2958,3639,6210,5661,4084,3367,1869,714,3461,2610,2786,2708,35271.13,37892.99,40,67,5,564,7,4,18,11,5,1,88865044
양평1동,11560610,72461,1456,1151,2585,4201,2831,2245,1712,1086,410,3832,1811,1393,1039,19650.84,15475.26,20,34,12,321,2,3,9,6,1,1,55036596
양평2동,11560620,110113,1911,1911,3776,4987,3756,3165,1965,1070,403,3829,1984,1790,1740,40479.13,23073.03,39,46,11,365,9,2,9,15,1,1,29682852
신길1동,11560630,87032,886,1164,3129,3269,3176,3561,2364,1499,558,5439,1782,1161,868,3268.483,86612.6,18,41,13,235,4,8,10,21,4,1,55755560
신길3동,11560650,111927,1212,1315,2237,2522,2942,3424,2310,1253,450,2740,1446,1284,1175,1615.018,27206.95,10,30,11,160,2,3,7,17,2,0,49757752
신길4동,11560660,103159,508,753,1436,1334,1733,2249,1462,823,303,1838,962,752,606,1315.701,12279.92,6,14,3,88,0,2,2,5,2,0,73570577
신길5동,11560670,77926,671,882,1427,1655,2120,2692,1677,866,287,1931,1019,802,633,1227.841,28637.2,7,26,12,106,3,2,4,13,0,0,23904630
신길6동,11560680,134704,1323,1395,2958,3250,3097,3576,2462,1346,492,3322,1776,1465,1244,2817.553,30219.09,12,36,8,217,9,5,2,21,6,1,1.04E+08
신길7동,11560690,101418,1669,1691,2522,2945,3042,2642,1635,868,327,1914,1286,1330,1572,2929.145,30470.41,13,8,5,118,3,3,1,9,2,1,52407517
대림1동,11560700,85886,910,1108,2187,2381,2922,3690,2179,1270,389,2899,1388,1027,813,2691.757,24088.05,17,37,7,216,1,7,3,17,1,0,59051022
대림2동,11560710,118731,1207,990,2241,3523,4036,5806,2625,1373,426,3167,1523,918,664,2127.26,21423.05,19,46,10,400,1,9,8,54,1,0,77244429
대림3동,11560720,80087,1890,1993,3730,4721,4938,6391,3599,1831,590,3874,2396,1998,1815,8140.02,20451.33,29,53,2,376,8,9,17,77,1,1,93676970
노량진1동,11590510,163272,2276,2304,5575,5443,4686,5039,3878,2394,963,6149,3016,2525,2177,3613.257,10373.96,42,51,12,559,1,25,10,16,75,2,69664467
노량진2동,11590520,115939,500,793,2464,2215,2023,2808,1967,1191,432,3890,1422,971,665,5466.503,23468.87,22,37,10,295,2,6,4,19,6,0,59273848
상도1동,11590530,116809,3707,3710,10702,7646,7147,6353,4864,2909,1128,9107,3843,3677,3340,4941.528,21284.49,47,38,4,446,6,16,22,23,7,2,85563504
상도2동,11590540,108435,2348,2023,4233,4873,4426,3963,2978,1805,684,4655,2416,2104,2020,3548.19,34399.94,22,32,7,256,0,5,8,14,4,1,45364900
상도3동,11590550,172873,1700,1915,4189,4689,4046,4090,2952,1949,628,4585,2553,2103,1655,1274.451,28562.28,12,24,0,151,1,8,3,12,5,0,49104746
상도4동,11590560,80353,2136,2223,4524,5346,4778,4775,3485,2081,785,4766,2963,2469,2096,1440.34,28468.51,14,26,1,169,1,3,2,13,1,0,45993057
흑석동,11590605,138201,2175,2297,6498,4562,4570,4693,3477,2300,950,5127,2583,2372,2148,4828.394,31572.42,27,41,5,441,2,10,12,12,5,1,75952356
사당1동,11590620,107548,1125,1097,5111,5030,3147,3617,2858,1562,402,6671,2514,1657,1210,6636.233,22491.49,30,29,7,440,2,9,10,38,2,0,55843880
사당2동,11590630,180474,2160,1819,3981,5083,4377,4507,3696,2198,709,3975,2777,2395,1980,3524.948,13842.45,23,35,7,459,1,7,9,32,3,2,41502331
사당3동,11590640,130842,2216,1818,3714,4445,4005,4065,3260,1888,551,3334,2292,2111,2005,2653.366,18536.32,13,22,0,158,0,2,3,5,10,0,39112200
사당4동,11590650,151939,897,879,2584,2773,2212,2299,1826,1144,298,2776,1509,1159,988,900.6097,9992.937,10,20,2,107,2,4,2,9,1,1,39239063
사당5동,11590651,92915,1031,972,2059,2365,2121,1978,1483,871,312,2171,1188,1085,955,833.222,30193.02,6,11,0,59,0,1,1,1,0,0,56112305
대방동,11590660,115822,2791,4778,6509,6010,7454,5814,3872,2349,935,6368,3146,2892,3352,9513.963,24116.55,36,42,3,277,3,8,11,15,8,2,54508653
신대방1동,11590670,115816,2057,2836,3427,3944,5147,4879,2915,1551,558,3449,1939,1819,2063,2752.955,13041.3,9,31,5,188,4,3,3,9,3,1,65767452
신대방2동,11590680,110308,1809,1931,3259,3661,3570,2897,2029,1367,444,3721,1650,1534,1523,19060.01,36595.59,31,25,3,313,0,5,14,10,1,0,66951518
보라매동,11620525,100775,1654,1785,4618,4811,3890,3934,3225,1912,581,5178,2598,1949,1604,5375.124,62219.76,16,28,0,255,4,5,5,20,4,0,41224993
청림동,11620545,75945,1639,1273,2059,2986,2725,2398,1823,1198,445,1947,1548,1472,1276,663.5496,23451.04,7,14,2,64,3,1,1,2,1,0,1.09E+08
성현동,11620565,120950,2561,3461,4151,4754,5981,5060,3866,2549,806,3791,2998,2665,2694,1651.062,41149.29,11,20,0,94,0,4,4,2,6,0,69902591
행운동,11620575,115005,1526,1598,7346,6351,3989,3890,3180,1930,552,9856,2863,1887,1508,3774.203,21641.16,35,33,11,305,1,9,5,17,4,0,50959433
낙성대동,11620585,122840,986,995,5443,3876,2289,1793,1398,926,299,7147,1496,912,733,12115.88,22508.96,23,29,12,512,1,5,10,27,6,0,69252094
청룡동,11620595,163423,1197,1632,8646,5690,3750,3664,2931,1766,474,12209,2452,1403,1205,7671.665,13498.01,43,45,31,420,1,11,14,25,1,1,54935888
은천동,11620605,144398,2829,2831,5295,6273,5832,5328,4185,2582,739,5990,3396,2723,2538,3760.622,19084.75,24,38,0,305,3,5,13,21,3,0,61942120
중앙동,11620615,117149,547,795,4077,3031,1968,2131,1660,1078,332,5486,1527,883,700,2045.511,24827.16,20,14,0,236,0,2,5,9,5,1,70954996
인헌동,11620625,148282,1599,1886,5703,5482,4096,3723,2763,1729,520,7209,2635,1915,1592,3764.922,40028.15,21,24,0,234,3,6,7,17,5,1,66230322
남현동,11620630,117371,1281,1014,3911,4063,2561,2703,2031,1164,312,4355,1851,1395,1134,3330.718,31898.26,22,29,10,249,3,1,3,15,3,0,76561075
서원동,11620645,162127,953,1094,6040,4983,3131,3320,2414,1524,389,7870,2389,1470,1016,4236.646,9121.974,27,33,13,470,1,11,13,33,4,0,95251328
신원동,11620655,138271,894,1093,4269,3715,2842,3055,2265,1491,410,5558,2138,1258,927,977.573,49392.71,10,26,0,180,0,4,2,12,3,0,77780158
서림동,11620665,81403,1104,1336,6157,5080,3418,3280,2607,1527,442,8972,2155,1486,1117,1614.738,19868.67,22,29,0,185,9,9,7,8,15,0,60213807
신사동,11620685,106746,1296,1514,5317,4854,4107,4569,2695,1520,457,7384,2290,1554,1132,2190.532,41087.29,27,44,3,239,3,7,9,22,4,0,60928554
신림동,11620695,157066,534,611,7737,5699,2507,1985,1469,896,260,12308,1972,719,431,2786.872,50152.5,44,52,121,512,1,13,13,58,1,1,76886596
난향동,11620715,130053,1514,1630,1808,2347,3290,2556,2005,1157,369,1809,1453,1381,1371,1398.756,35837.55,4,15,0,41,3,2,1,1,1,0,72696272
조원동,11620725,85133,998,1032,3810,3838,2966,3510,2237,1197,389,6023,1784,1080,890,3983.64,11760.62,23,49,6,403,0,9,9,39,2,0,50428307
대학동,11620735,114378,935,1181,7178,4992,3709,3108,2083,1225,410,11348,1765,1186,939,2338.206,15754.47,43,39,1,548,1,32,19,30,56,0,44896461
삼성동,11620745,96875,1270,2079,3365,3316,4184,4852,3928,2552,883,4447,2668,2052,1753,1160.787,16470.73,7,40,9,116,1,0,2,7,2,0,60162095
미성동,11620765,90335,2197,2768,5081,5161,5357,5605,4439,2275,621,5202,3092,2645,2381,3216.572,16623.69,21,42,7,238,4,3,8,13,5,0,45006796
난곡동,11620775,132216,1781,2360,4330,4214,4700,5468,3781,2342,696,4813,3028,2419,1944,1108.263,24453.13,21,37,0,126,2,7,4,9,5,0,39418135
서초1동,11650510,125777,1720,1936,3066,3939,3864,2927,2313,1160,407,3678,1708,1569,1567,40616.31,9121.2,35,43,5,493,7,9,16,16,8,1,72176627
서초2동,11650520,193137,1490,1734,2585,3634,3272,2312,1663,877,284,3243,1399,1343,1361,58455.78,51584.27,44,50,9,683,0,6,14,16,9,1,85166789
서초3동,11650530,136069,1845,2832,4942,4877,4980,4885,3425,1962,640,4975,2493,2275,2182,73209.98,25619.71,86,55,38,1220,9,8,43,66,13,0,65642910
서초4동,11650531,126006,3189,4286,3683,4193,6530,4362,2962,1688,566,2135,1859,2528,3362,26284.26,6011.395,37,36,5,661,3,4,24,19,16,0,96330336
잠원동,11650540,135606,2953,4080,4433,5757,7108,5081,3107,1574,622,4573,2616,2934,3047,19334.04,49210.53,37,37,7,493,5,6,9,31,6,1,84470324
반포본동,11650550,154215,734,2259,1427,990,2904,1876,1114,959,291,731,814,984,1348,1017.271,40133.46,7,19,0,111,0,2,1,3,4,1,35341248
반포1동,11650560,189338,2692,2930,4118,5375,5814,3518,2470,1189,364,6080,1933,1952,2184,8357.412,28561.44,28,31,2,375,1,10,6,20,3,2,72505271
반포2동,11650570,303013,2697,3627,2452,2895,5244,3102,2102,1348,369,1159,1394,1911,2468,2271.73,18733.8,9,14,0,62,0,0,0,0,7,1,1.25E+08
반포3동,11650580,142847,1765,2716,2109,2511,4171,2668,1723,959,390,1291,1260,1666,1939,8023.062,21299.22,8,25,0,134,0,3,4,5,5,0,24696334
반포4동,11650581,265483,1963,2325,2494,3220,3816,2843,2193,1051,385,1846,1508,1730,1716,32776.78,33786.99,42,66,3,644,6,6,6,12,9,1,1.75E+08
방배본동,11650590,118396,1683,2941,2742,2757,4275,3237,2041,1185,555,2067,1468,1686,1947,7703.586,16712.82,24,20,10,348,7,3,9,19,6,0,37903682
방배1동,11650600,135583,1231,1458,2641,3253,2890,2442,1894,1154,361,2791,1694,1392,1230,11163.1,16247.93,17,28,3,318,1,10,12,30,4,0,78185832
방배2동,11650610,142822,1642,2163,3993,4203,4005,4276,3441,1949,515,3728,2484,2102,1933,13628.66,28987.64,27,34,1,413,10,3,13,22,4,1,40369486
방배3동,11650620,88406,1432,2165,3176,3114,3487,3774,2968,1507,477,2307,1798,1824,1883,9806.556,20389.07,17,28,1,132,2,0,4,0,3,0,71590642
방배4동,11650621,118764,1933,3010,3578,4150,4765,3741,2420,1618,529,3402,2064,1948,2111,12697.01,47318.83,25,26,6,357,1,2,11,10,7,0,52920947
양재1동,11650651,146052,5424,4174,5790,8318,8044,6473,5158,2585,918,5826,3891,3452,3622,37080.06,16191.89,50,54,2,652,10,7,25,32,3,1,61421578
양재2동,11650652,87157,1849,1788,3619,5078,4174,3476,2374,1176,350,4927,2277,1672,1527,121874.7,112690.7,53,66,0,744,6,6,28,51,5,1,49656431
내곡동,11650660,135860,2553,1218,2074,3449,2869,2524,2297,1304,458,1950,1708,1574,1422,6250.259,29047.84,12,15,0,97,4,0,1,3,1,1,24869447
신사동,11680510,190766,1163,1830,2555,2820,3315,2445,1803,1363,495,2926,1554,1302,1311,34695.82,44322.06,50,47,13,1008,4,7,9,33,4,1,63490563
논현1동,11680521,158358,915,1060,4827,6395,3929,2945,2278,1232,403,9104,2400,1326,895,42061.79,12262.41,83,67,11,943,4,13,18,41,5,2,80451883
논현2동,11680531,141326,1410,1431,3618,5068,3876,2881,2301,1332,419,5824,2121,1616,1249,66064.15,45590.27,78,58,12,1076,8,10,15,17,5,2,66614871
압구정동,11680545,179640,2537,2997,3340,3979,5260,3746,3143,2202,761,2935,2288,2434,2341,34873.82,37966.65,56,73,3,955,5,5,9,19,7,0,36710837
청담동,11680565,159986,2483,2748,4312,5125,5318,4452,3162,1756,557,4302,2334,2394,2333,43973.53,18386.09,60,70,3,853,6,4,7,9,4,1,78701016
삼성1동,11680580,159989,1093,1510,2212,2473,2552,2401,1700,929,249,1890,1166,1149,1218,93347.19,19660.63,57,49,3,791,10,3,21,22,2,3,77699116
삼성2동,11680590,183569,2628,3405,3925,5571,6379,3712,2385,1505,409,5544,2189,2261,2338,58201.91,14632.25,55,59,27,537,7,6,15,10,6,4,79898284
대치1동,11680600,220376,2049,5601,2774,1918,6253,3653,1855,935,295,566,904,1923,3169,3779.439,12832.86,23,17,0,189,0,6,3,8,10,0,45025997
대치2동,11680610,171168,2096,6968,6048,3891,8088,7388,4035,1863,567,2450,2096,3252,4629,62331.6,28635.06,50,62,2,628,2,6,18,10,31,2,55891642
대치4동,11680630,172127,852,2737,3656,3688,4432,3072,1484,921,249,5144,1658,1392,1489,27739.79,10095.37,66,42,7,815,1,8,19,29,30,0,70854879
역삼1동,11680640,160658,1319,1577,7640,10635,5819,4270,2946,1620,450,15817,3369,1797,1231,187346.5,24036.22,191,157,64,2753,3,35,74,103,26,2,82172086
역삼2동,11680650,166016,3296,5280,4589,5899,8444,4426,2542,1593,476,5802,2250,2777,3227,49498.11,21816.84,56,56,31,554,11,6,17,10,14,0,80665610
도곡1동,11680655,181810,1951,2444,3407,3579,3973,3543,2397,1116,392,2478,1509,1810,2118,13865.34,13435.08,28,25,2,244,8,1,6,5,6,1,70970328
도곡2동,11680656,164714,2998,4937,4395,4219,6753,5368,3502,1790,602,2284,2278,2959,3553,29740.23,50884.9,24,25,0,323,3,3,9,10,11,2,52267047
개포1동,11680660,86971,632,1167,2020,1609,1809,2500,2128,924,283,1631,1156,997,1107,1879.397,23825.11,2,13,0,20,0,0,0,0,1,0,0
개포2동,11680670,114487,823,1859,2013,1546,2384,2618,1768,677,248,1146,863,1104,1487,2215.171,15785.52,12,26,0,158,1,1,6,9,7,3,31478843
개포4동,11680690,79851,1265,1879,2851,3053,3319,3166,2054,915,284,2953,1483,1440,1477,9109.193,26795.34,29,30,2,247,2,6,18,19,7,0,47358255
세곡동,11680700,186887,5664,4363,5476,7974,7553,5912,4460,2402,1120,5245,3524,3252,3546,5325.571,8055.002,22,29,0,193,10,2,1,2,3,0,50424661
일원본동,11680720,165450,2436,3647,2783,3304,4930,3726,2630,924,430,1528,1441,2003,2686,8737.012,31616.99,11,16,0,57,0,1,1,1,4,1,3.20E+08
일원1동,11680730,105486,993,1474,2566,2644,2477,2841,2408,1258,462,2996,1727,1365,1101,3534.848,10386.68,12,24,0,206,2,9,10,27,7,0,98481903
일원2동,11680740,151600,1110,1648,1835,2583,2756,2370,2145,1153,356,1972,1543,1363,1294,15850.55,16278.58,7,16,0,84,5,1,0,0,4,1,77839841
수서동,11680750,141561,774,799,2038,2900,1813,2749,3198,1613,625,3084,2301,1377,820,16382.09,25728.51,19,19,0,215,1,2,4,5,4,1,1.16E+08
풍납1동,11710510,100747,1012,1169,2099,2626,2586,3078,2389,1250,389,2526,1617,1312,1108,1025.223,37718.16,9,22,0,151,0,4,3,14,0,0,51980027
풍납2동,11710520,80414,2126,2264,3795,4424,4145,3686,2866,1372,466,3692,1979,2127,2022,10893.35,21210.39,18,26,0,167,2,3,4,14,12,0,79850836
거여1동,11710531,89375,779,1298,1870,1656,2315,2484,1732,919,280,1679,1151,1063,1044,3111.923,40468.28,14,17,3,126,1,5,9,13,3,1,31661813
거여2동,11710532,134566,1216,1654,1998,2520,3130,2984,2238,1336,446,2394,1734,1448,1293,2393.098,22746.59,12,19,0,132,1,5,6,13,5,0,41565403
마천1동,11710540,79070,1469,1897,2726,2744,3532,3892,2990,1781,608,3549,2057,1624,1487,1202.051,22452.19,11,31,5,158,0,2,3,11,0,1,47899515
마천2동,11710550,95107,1165,1704,2710,2562,3277,4031,2814,1654,588,2975,2023,1640,1430,3074.47,18720.83,9,29,0,231,2,11,9,14,1,0,61346960
방이1동,11710561,101832,1194,1972,2595,2340,2916,2784,1741,751,314,1677,1188,1315,1501,5453.908,60705,24,14,1,309,3,3,12,23,11,1,49691742
방이2동,11710562,131314,1513,1570,4383,5498,3864,3997,2836,1290,406,6279,2465,1882,1437,14946.96,13878.81,38,31,70,691,3,12,26,72,7,0,95377128
오륜동,11710566,328710,1425,3176,2481,1932,3682,3184,2204,826,352,646,1025,1575,2175,4478.676,17187.23,13,22,0,65,1,1,1,0,4,1,57351282
오금동,11710570,83736,2933,3698,6020,5891,6069,7173,4933,2105,839,3953,3247,3443,3374,12579.57,8195.076,36,63,0,366,8,6,15,23,14,1,34235185
송파1동,11710580,101590,1648,1717,4712,5888,3815,3939,2920,1317,407,5417,2567,2018,1624,7542.423,19631.19,26,39,0,431,3,5,17,39,6,0,54375491
송파2동,11710590,143584,1714,2253,3184,3147,3300,3627,2592,997,387,1438,1448,1757,2038,4346.557,25568.26,12,26,0,154,1,5,1,1,13,0,36501706
석촌동,11710600,107916,2135,2422,5688,7580,5519,5293,3727,1834,545,7744,3408,2592,2041,9005.593,19389.4,47,55,5,532,9,9,21,66,12,1,46560369
삼전동,11710610,119357,2155,2434,5417,7515,5655,4877,3338,1508,456,7831,3200,2518,2057,7475.084,12496.11,36,36,7,401,4,12,19,29,17,0,55322866
가락본동,11710620,97354,1866,2309,4518,5065,4376,5038,3148,1339,476,4112,2321,2282,2225,27024.8,20775.26,44,41,2,643,1,9,24,144,9,0,64876164
가락1동,11710631,44077,66,85,116,113,160,166,116,54,12,133,57,61,81,10710.59,26297.24,5,46,0,162,1,0,0,1,0,2,2.74E+08
가락2동,11710632,99824,2945,4033,5024,5283,6013,5584,3582,1455,563,2711,2362,2923,3347,7418.477,20864.59,19,47,0,301,8,8,6,32,13,2,50846676
문정1동,11710641,99403,1460,1807,3555,3768,3167,3824,2583,1047,349,2590,1780,1766,1775,6026.069,27834.29,20,31,0,206,1,6,7,25,9,1,62381164
문정2동,11710642,233411,1821,1844,5479,7942,4299,3523,3001,1364,551,7875,2750,1959,1857,42688.82,65729.81,69,72,0,745,6,3,5,8,4,0,55685046
장지동,11710646,86205,3036,3513,4960,5762,5663,5832,3806,1677,658,3565,3075,3007,2839,8573.074,44217.77,24,30,1,212,3,7,5,15,4,1,32461182
위례동,11710647,265931,5122,3366,3015,5731,5362,3245,1868,743,280,1065,1687,2332,2965,2234.636,20889.77,16,8,0,156,0,0,1,0,2,1,37598937
잠실본동,11710650,134629,1671,2189,5063,6432,4835,4462,3128,1431,471,7233,2818,2106,1770,11744.2,14656.34,62,36,28,879,5,23,34,79,22,0,73602864
잠실2동,11710670,372406,4619,6091,3384,5073,9100,4269,2659,1377,383,1888,1807,3085,4376,2548.305,37729.75,24,16,0,116,0,0,1,0,0,0,1.16E+08
잠실3동,11710680,274458,3649,4059,4439,5459,6325,5380,4467,2069,605,2068,2482,3252,3723,5120.051,23123.08,18,36,0,234,0,0,1,1,2,1,23547860
잠실4동,11710690,284213,3961,2824,3231,5557,5283,4098,3340,1449,473,1757,2118,2871,2942,1924.019,10571.74,8,13,1,65,0,2,1,0,1,1,82171476
잠실6동,11710710,291690,1460,1782,2346,2680,2694,2815,2225,963,398,959,1282,1537,1645,169892.7,32969.84,30,27,0,400,0,0,4,2,6,2,57383964
잠실7동,11710720,160038,706,1200,1362,1231,1613,1625,1428,809,357,491,793,881,1035,588.4375,15259.17,2,10,0,21,0,0,1,0,2,1,2.03E+08
강일동,11740515,260066,3512,4479,4036,3999,6029,4885,3362,1905,817,2156,2433,2220,2986,10078.55,43267.63,23,20,0,99,1,2,3,2,3,0,39822235
상일동,11740520,80149,669,1307,1553,1368,1748,2138,1479,606,220,1137,884,917,959,5430.105,27578.9,11,26,0,177,3,5,4,10,1,1,39206665
명일1동,11740530,105643,1673,2651,2959,3131,3846,3679,2829,1190,444,1992,1599,1939,2066,3258.642,35432.57,18,27,2,364,0,8,15,27,10,2,62627353
명일2동,11740540,103153,1209,2758,2428,1925,3246,3123,2182,770,326,982,1013,1314,2036,2601.564,26544.61,17,15,1,209,3,12,9,7,16,0,35802597
고덕1동,11740550,74613,3469,3330,2982,4686,5139,3882,2484,993,427,1524,1667,2236,2908,1439.122,27941.57,9,20,0,102,0,1,4,4,2,1,38497159
고덕2동,11740560,99824,334,633,1109,954,1191,1652,1239,580,267,1507,793,608,479,1272.892,11974.28,6,20,0,101,0,2,3,5,0,0,58020890
암사1동,11740570,116120,2700,3209,5214,6273,6137,6514,4719,2362,783,6079,3617,3140,2718,3366.542,31554.36,34,41,8,353,4,11,10,29,4,1,49705019
암사2동,11740580,113140,1387,1138,1996,2748,2409,2267,1672,858,264,1783,1290,1275,1242,1292.17,22741.88,10,17,2,155,3,3,3,6,5,0,45905884
암사3동,11740590,91580,2164,2088,2148,2919,3438,2787,2144,925,291,1018,1239,1628,1855,1628.047,38051.26,7,19,0,61,1,0,0,1,3,0,1.01E+08
천호1동,11740600,98646,1787,2307,4153,4693,4498,5305,4020,2065,637,5018,2917,2478,1920,2855.605,35245.55,24,42,0,253,1,8,7,9,4,0,40378473
천호2동,11740610,101158,2131,2321,5118,6633,5682,6750,4724,2560,783,8182,3796,2842,2115,6544.16,16510.15,51,65,69,709,6,9,21,47,2,0,52537860
천호3동,11740620,105651,1744,1698,4152,5213,4218,4986,3853,1911,596,6134,2855,2194,1666,5887.716,12683.31,30,57,13,353,0,7,11,18,0,0,51282602
성내1동,11740640,96383,1774,1978,2859,3614,3600,3205,2480,1113,388,2276,1812,1821,1735,17010.56,42377.79,26,20,0,373,4,1,9,12,1,1,42181131
성내2동,11740650,111401,1474,1505,3886,4843,3934,4628,3335,1746,522,5791,2728,1966,1435,4017.005,11349.03,25,38,2,424,3,10,14,30,5,2,75887299
성내3동,11740660,103780,1578,2211,3625,3981,3970,4092,2865,1499,433,3670,2161,2027,1834,6516.349,4499.042,35,33,2,580,3,21,25,37,6,1,53451279
길동,11740685,118674,3294,3772,7467,8367,7606,8486,6518,2915,968,7785,4470,4046,3510,14206.11,27988.24,65,79,46,746,6,20,24,47,8,1,50669299
둔촌1동,11740690,107111,10,12,47,46,63,53,69,36,11,140,24,14,16,330.1603,19411.69,3,10,0,5,0,0,0,0,0,0,0
둔촌2동,11740700,88007,2231,2763,4141,4348,4476,4904,3600,1537,557,3327,2298,2374,2467,4157.61,7252.418,23,28,5,277,3,8,10,18,7,0,50568142