,code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
0,11110515,104.78253,94.478836,74717455.0,58056517.0,32006332.0,51609068.71826416,90.9,100.0,91.7,95.62877
1,11110530,123.59653,99.9252,82239199.0,48355905.0,44629471.0,61044514.81995361,96.2,96.3,96.7,96.19206
2,11110540,110.10424,90.17889,72501266.0,35726802.0,20644838.0,46864788.678863525,100.0,66.7,100.0,95.184044
3,11110550,96.695526,93.72737,50518431.0,46730211.0,36622411.0,46326189.24604126,100.0,100.0,91.7,95.55105
4,11110560,86.8078,94.96039,21683974.0,18922506.0,24478622.0,41590645.23516479,100.0,100.0,100.0,95.67857
5,11110570,104.02113,92.418304,282000000.0,175000000.0,159000000.0,108036152.42780639,100.0,100.0,100.0,95.41566
6,11110580,101.32231,97.313034,18078925.0,16375300.0,15189186.0,43160262.66822998,100.0,93.3,100.0,95.9219
7,11110600,107.79193,93.64232,62993164.0,46870888.0,46916698.0,53291786.38121704,100.0,100.0,100.0,95.54225
8,11110615,128.85788,146.3475,65246898.0,51234956.0,44199419.0,63166554.58978882,96.2,96.4,91.5,100.99332
9,11110630,115.99407,100.36242,60300882.0,54911801.0,54752791.0,62646694.65680542,96.0,96.2,100.0,96.23728
10,11110640,106.35798,98.20908,135000000.0,122000000.0,150000000.0,93329381.83,88.9,100.0,94.7,96.01457
11,11110650,110.79262,100.51674,46167608.0,34424043.0,30640744.0,49296768.2889148,100.0,100.0,100.0,96.25324
12,11110670,112.10146,91.01253,67553378.0,59940757.0,64242900.0,62686067.91132568,100.0,100.0,100.0,95.27026
13,11110680,98.13744,88.92728,86576723.0,58587808.0,61860647.0,62039674.377890624,100.0,100.0,100.0,95.054596
14,11110690,98.06049,93.83625,54519959.0,61788073.0,12048044.0,58948041.220654294,100.0,100.0,100.0,95.56231
15,11110700,95.47468,91.98839,81415561.0,67737708.0,63671322.0,63520390.36847656,100.0,100.0,100.0,95.37119
16,11110710,97.89141,99.970345,65861194.0,55499124.0,63447943.0,57964350.75616822,100.0,96.3,100.0,96.19673
17,11110,0.0,0.0,66131506.89,53100653.49,49730464.06,59243358.03813965,97.29939577,97.122478386,95.98443804,96.00399
18,11140520,115.70782,114.493,76910347.0,60376099.0,53499882.0,63390425.672402345,98.1,98.0,100.0,97.698746
19,11140540,105.173294,117.04305,63988517.0,52264589.0,31178842.0,49701753.6829419,95.3,97.8,91.7,97.96249
20,11140550,110.84846,132.74937,74186210.0,68759841.0,48529243.0,56809733.06868531,90.9,98.8,100.0,99.58692
21,11140570,104.58737,102.367035,75734321.0,47776249.0,39023219.0,54457839.1848706,100.0,96.9,100.0,96.44461
22,11140580,100.07581,94.30401,59902075.0,48751219.0,34236275.0,48183910.704648435,100.0,94.1,81.2,95.61069
23,11140590,102.36584,114.72426,76746925.0,63958695.0,46045293.0,53924628.165687256,95.7,100.0,98.2,97.722664
24,11140605,109.748505,103.79295,51832757.0,51038574.0,40839318.0,53994808.8714795,93.5,96.6,97.1,96.59209
25,11140615,113.38943,103.80254,60394851.0,50838733.0,55381230.0,60061799.21521606,97.4,94.1,96.9,96.59308
26,11140625,102.53925,95.07922,78461799.0,55521349.0,36943084.0,56071944.48733643,93.7,88.2,100.0,95.690865
27,11140635,98.09692,92.77408,62816550.0,34386407.0,50351495.0,51305963.00684936,100.0,100.0,100.0,95.45245
28,11140645,98.587326,88.85241,63489359.0,75200311.0,77566455.0,61825177.471518554,85.7,83.3,100.0,95.04685
29,11140650,106.13076,90.190025,81474640.0,63726698.0,50151971.0,58086907.27431762,85.7,100.0,85.7,95.185196
30,11140665,99.148,92.94227,40036474.0,39639834.0,49268261.0,51075914.696348876,92.3,100.0,100.0,95.46985
31,11140670,107.67836,92.21788,87215483.0,80646247.0,66455474.0,65013767.886397704,100.0,92.3,100.0,95.39493
32,11140680,101.55735,95.467606,41288743.0,38811975.0,35637841.0,48469922.77082886,92.9,100.0,100.0,95.73103
33,11140,0.0,0.0,68506413.12,57454297.1,45386354.25,57362845.12761231,95.133796296,97.180796253,97.342888889,96.41216
34,11170510,92.972725,96.97415,57597457.0,37253645.0,44619103.0,47087115.42374146,100.0,94.1,100.0,95.88685
35,11170520,99.90974,93.47531,33918425.0,19921019.0,16518912.0,42918881.9769104,94.1,94.4,100.0,95.52498
36,11170530,108.79761,101.48102,64131041.0,37026882.0,42827723.0,53914184.59264892,100.0,100.0,97.0,96.352974
37,11170555,99.48985,102.19545,65837384.0,46916145.0,42032788.0,51308621.61983398,96.4,92.6,92.6,96.426865
38,11170560,105.904686,96.60266,72469145.0,49413041.0,53390330.0,56502685.77266236,100.0,95.2,100.0,95.84843
39,11170570,93.707535,94.265724,57211911.0,60163168.0,55655841.0,52620528.179729,100.0,93.3,93.3,95.60673
40,11170580,97.89747,92.68755,55540082.0,52213771.0,35912843.0,47383520.35396484,90.0,100.0,100.0,95.443504
41,11170590,99.00418,92.15156,30214018.0,25756737.0,21991442.0,46498024.03010376,85.7,100.0,100.0,95.38807
42,11170625,109.69643,107.894104,99934004.0,93487189.0,63867253.0,65735681.49807984,93.5,97.8,97.9,97.01625
43,11170630,100.202705,95.49985,74653804.0,41459226.0,42450245.0,50705266.940131836,100.0,100.0,100.0,95.73437
44,11170640,93.07983,91.335625,65880495.0,84565506.0,85694440.0,63791410.7796167,100.0,100.0,100.0,95.30368
45,11170650,115.451836,94.755905,108000000.0,98282185.0,59929899.0,69508458.78779663,100.0,96.0,100.0,95.657425
46,11170660,107.889366,91.54085,93592090.0,67588808.0,76459724.0,62140658.300826415,86.7,92.9,100.0,95.324905
47,11170685,120.64134,95.56719,90797206.0,73013155.0,64423436.0,66345910.87055298,100.0,100.0,100.0,95.74133
48,11170690,97.24452,91.52521,72299563.0,39585793.0,45095689.0,50681929.54898316,100.0,100.0,100.0,95.32329
49,11170700,104.93027,88.31679,72200848.0,67345273.0,93185622.0,69426120.55796753,90.9,100.0,100.0,94.991455
50,11170,0.0,0.0,75278389.55,59672998.79,52259915.29,53187688.051457524,96.610847458,96.883737024,98.356435644,95.72319
51,11200520,99.92287,92.357445,46417981.0,20687061.0,15302530.0,38180045.801186524,100.0,100.0,90.0,95.40936
52,11200535,91.08411,103.698975,49985042.0,50690539.0,44020071.0,49065098.06302856,100.0,90.6,96.4,96.58237
53,11200540,94.16402,95.57605,74588530.0,58983771.0,57043998.0,51268445.91183105,92.9,100.0,100.0,95.74225
54,11200550,103.792915,102.36858,85067398.0,113000000.0,57207452.0,61902440.42181274,97.1,100.0,97.1,96.44477
55,11200560,99.36753,96.25057,48718586.0,48955365.0,46659716.0,54750820.57883057,88.9,100.0,100.0,95.81201
56,11200570,96.010376,94.240425,51862070.0,51291781.0,55512354.0,52390567.21168335,100.0,100.0,100.0,95.60411
57,11200580,104.354,87.2094,6666667.0,6666667.0,0.0,58368407.53860474,100.0,100.0,100.0,94.87692
58,11200590,100.12098,90.51895,40382745.0,6209688.0,14872903.0,40236023.2178418,90.9,75.0,88.9,95.219215
59,11200615,96.8289,96.19665,70164679.0,33194624.0,31498366.0,46592685.78384033,100.0,100.0,100.0,95.806435
60,11200620,103.85136,90.20153,15038580.0,11203197.0,14542557.0,39859140.577183835,100.0,100.0,100.0,95.186386
61,11200645,97.613014,93.73379,81480033.0,80773150.0,175000000.0,95586002.13542481,100.0,63.6,100.0,95.55171
62,11200650,91.088036,99.35255,74661891.0,52226851.0,41927823.0,50359743.9598584,100.0,100.0,100.0,96.132835
63,11200660,102.83303,101.78959,51548788.0,42323574.0,43976311.0,54229567.5044812,100.0,93.1,100.0,96.38489
64,11200670,102.14119,96.99547,68713476.0,54968109.0,51330766.0,55075559.688048095,100.0,95.7,95.5,95.88905
65,11200690,89.914314,116.789955,67476364.0,53434899.0,63179364.0,54668629.69099487,100.0,92.5,98.2,97.93631
66,11200720,94.65821,91.81813,67001447.0,53042630.0,41011283.0,47806778.42042847,100.0,100.0,100.0,95.353584
67,11200790,104.58315,91.37915,50984445.0,42259641.0,44994326.0,52348584.21223755,94.4,93.3,100.0,95.30818
68,11200,0.0,0.0,61771834.32,54243271.79,52166276.06,51528279.93398681,98.157846154,94.539549839,98.116037736,95.83767
69,11215710,124.52706,115.06004,101000000.0,75762823.0,60226005.0,67384437.8383838,96.8,93.7,96.7,97.75739
70,11215730,99.84321,100.38514,42107278.0,32746282.0,35202797.0,48233585.15637696,100.0,100.0,100.0,96.23963
71,11215740,102.41364,96.42415,79262380.0,72541145.0,83985705.0,65162763.31878174,100.0,100.0,93.3,95.82996
72,11215750,87.48417,102.210205,35192447.0,39841891.0,35672981.0,48167718.24659546,84.6,95.8,96.3,96.42839
73,11215760,97.003105,95.929756,48675931.0,44741668.0,69082665.0,51002704.87685547,90.0,95.0,94.1,95.77883
74,11215770,90.83773,98.22553,39592054.0,35608315.0,34920187.0,43015687.69783081,92.0,90.9,95.0,96.01627
75,11215780,107.65472,95.26955,41527628.0,42874406.0,33783080.0,50692482.45681763,90.0,100.0,95.2,95.71055
76,11215810,104.419304,98.911125,67761771.0,37985825.0,51579789.0,62007780.05488159,92.9,96.0,95.0,96.08718
77,11215820,102.75833,98.796936,72560926.0,66151509.0,72106884.0,61593419.28355591,100.0,95.8,90.9,96.07537
78,11215830,98.484886,98.66032,52464265.0,30948333.0,44863911.0,50779442.409538575,95.2,95.2,95.0,96.06124
79,11215840,92.7691,101.916466,114000000.0,73645292.0,68310189.0,52022339.039967045,92.9,100.0,96.4,96.39801
80,11215847,102.50049,101.192444,76593672.0,52167900.0,102000000.0,70067827.70041505,97.0,100.0,96.7,96.32313
81,11215850,110.09218,102.77268,56779022.0,39247239.0,51413319.0,57248134.2525708,96.4,86.2,96.4,96.486565
82,11215860,94.106995,99.48083,58195247.0,34423087.0,56957760.0,51523744.9629187,100.0,100.0,94.4,96.1461
83,11215870,99.47297,103.822014,73109885.0,60640613.0,53026409.0,54297713.15418701,93.5,93.3,93.7,96.59509
84,11215,0.0,0.0,68227320.22,52159890.57,57021707.31,54928610.9539624,94.861369193,95.70530303,95.611597938,96.262245
85,11230536,95.56742,111.97791,62042207.0,54372889.0,61628909.0,56017057.9166333,98.4,96.3,98.0,97.43862
86,11230545,94.90713,99.25127,68994146.0,65668922.0,43903531.0,54798368.65274048,96.3,100.0,96.7,96.12236
87,11230560,88.02703,103.37705,57522388.0,35902517.0,34583604.0,43470448.69651123,100.0,93.1,89.7,96.54907
88,11230570,92.36721,94.26454,74310994.0,56197918.0,38319238.0,46405068.41663574,100.0,100.0,100.0,95.606606
89,11230600,87.89052,106.59838,58958345.0,38097529.0,34899171.0,48138004.20324829,90.6,100.0,90.9,96.88224
90,11230610,91.019485,95.09877,60871899.0,32777471.0,46352297.0,44330187.360330805,100.0,94.1,100.0,95.69289
91,11230650,97.69419,116.93661,66197618.0,54965091.0,62552819.0,56798070.348665774,94.4,100.0,96.3,97.95148
92,11230660,93.1633,106.94715,67883641.0,56865764.0,56861347.0,53820403.18428345,97.1,100.0,97.4,96.91831
93,11230705,95.58209,95.532524,56329957.0,21632254.0,46437015.0,47534291.521898195,100.0,87.5,100.0,95.73775
94,11230710,110.07627,97.67796,61175789.0,55311784.0,62387884.0,60926905.36967774,92.0,100.0,95.7,95.95964
95,11230720,101.91669,93.08501,64325948.0,40104654.0,39397407.0,52625323.65412475,100.0,93.7,94.4,95.48461
96,11230730,93.98314,97.099556,87485639.0,58560745.0,49230496.0,54461728.8342981,93.7,100.0,100.0,95.89982
97,11230740,101.71247,98.09364,92601967.0,74197673.0,58004847.0,54364684.810372315,100.0,93.9,100.0,96.00263
98,11230750,90.95483,94.306076,55881939.0,41790215.0,26836862.0,42221767.8267041,100.0,91.7,92.3,95.6109
99,11230,0.0,0.0,66820860.41,51481131.29,50325277.79,48028903.039058834,96.954060914,97.092612137,96.377202073,96.2755
100,11260520,80.03367,98.9593,39050107.0,19660466.0,25457421.0,36764925.52078369,95.2,95.2,100.0,96.09216
101,11260540,88.65414,95.07827,57410857.0,41296743.0,31184826.0,41878172.799088135,100.0,100.0,100.0,95.690765
102,11260550,95.025925,91.46177,29137686.0,33883656.0,18293788.0,46500272.64468994,100.0,83.3,100.0,95.31673
103,11260565,82.85719,102.141235,73360264.0,61806498.0,63451141.0,48675888.40720459,100.0,100.0,96.7,96.42126
104,11260570,93.25707,98.71645,75762724.0,74791589.0,92266590.0,64901090.20030884,94.1,100.0,100.0,96.06705
105,11260575,103.21941,98.38015,59249315.0,44745322.0,41177967.0,50887415.9618811,100.0,100.0,95.0,96.032265
106,11260580,86.07865,95.61263,37499442.0,24446068.0,28418951.0,46430910.129198,100.0,100.0,92.9,95.74603
107,11260590,112.07174,105.07384,79346012.0,64119884.0,62500896.0,62152319.406391606,97.1,100.0,100.0,96.72456
108,11260600,83.402855,96.70675,21751974.0,11536094.0,16273713.0,34952503.23248047,100.0,100.0,88.9,95.85919
109,11260610,92.14903,97.730705,95204660.0,46066636.0,48189386.0,48977824.122940674,93.3,100.0,95.0,95.965096
110,11260620,95.60361,99.781136,50932611.0,27959874.0,25849817.0,46710275.35132568,100.0,95.5,95.5,96.17716
111,11260630,96.3417,96.682106,41653836.0,32780086.0,30059129.0,48639908.75649292,84.6,92.9,100.0,95.85664
112,11260655,88.88439,103.13613,67943131.0,62864446.0,61550340.0,55174351.5216333,100.0,100.0,93.5,96.524155
113,11260660,82.47553,93.57674,37268307.0,41509426.0,39763348.0,41867644.182186276,100.0,100.0,100.0,95.53547
114,11260680,88.37905,98.154205,43758370.0,29027705.0,28496496.0,39329267.976824954,85.0,100.0,90.0,96.008896
115,11260690,94.548134,92.721855,73737065.0,51781286.0,40604686.0,49047102.244548336,100.0,100.0,100.0,95.44705
116,11260,0.0,0.0,58340427.68,44052423.94,44559840.25,47168686.306588136,96.948310811,98.677483444,96.467202572,95.96653
117,11290525,95.07512,96.20417,33522341.0,44527758.0,43178677.0,50621403.2425,94.4,100.0,100.0,95.80721
118,11290555,98.40688,102.50535,53740643.0,38182336.0,47024499.0,51108036.74269043,94.4,97.2,100.0,96.458916
119,11290575,105.0674,106.33673,56742466.0,39791672.0,35996911.0,50600523.982951656,95.1,95.2,97.3,96.85518
120,11290580,89.979774,92.02719,26051017.0,11124681.0,10356696.0,36491848.21854492,100.0,100.0,100.0,95.375206
121,11290590,97.47141,90.54558,43410743.0,20057909.0,26368464.0,43496444.328747556,100.0,80.0,80.0,95.22197
122,11290600,93.8959,108.14764,60155861.0,51375222.0,38566944.0,46729514.67407471,93.9,93.9,100.0,97.04247
123,11290610,94.62481,96.51451,45184213.0,25901116.0,29779052.0,43006495.18935303,100.0,94.4,94.1,95.83931
124,11290620,93.95155,93.50246,135000000.0,111000000.0,45237688.0,62564317.26664307,81.8,100.0,100.0,95.52779
125,11290630,93.32256,95.87414,51955946.0,40940917.0,31189796.0,43304990.32460205,100.0,92.9,100.0,95.77308
126,11290640,92.89227,94.66502,89724124.0,62812309.0,44078084.0,49554075.91838013,100.0,93.3,100.0,95.648026
127,11290650,93.64844,97.67265,73582733.0,65854507.0,54811950.0,49849141.243336186,100.0,93.3,100.0,95.95909
128,11290660,117.15653,89.93538,189000000.0,33422962.0,14791038.0,47507105.10411377,83.3,100.0,100.0,95.15886
129,11290685,100.327126,94.215485,70482544.0,112000000.0,93767196.0,64976788.751173094,85.7,100.0,100.0,95.60153
130,11290705,92.85681,99.677414,62165481.0,65717992.0,51000855.0,50767087.1531958,89.3,100.0,100.0,96.166435
131,11290715,95.67001,94.83661,45799094.0,26840574.0,36652924.0,46671383.82070068,100.0,100.0,76.9,95.66577
132,11290725,99.60602,98.09017,56801081.0,38112252.0,29238883.0,46055477.9052539,92.0,95.7,91.7,96.00227
133,11290760,85.004395,93.69285,70864825.0,61299368.0,61364084.0,49702747.137309566,100.0,100.0,100.0,95.54748
134,11290770,94.55282,91.060326,52152471.0,36981070.0,63039538.0,54334356.981000975,90.9,100.0,100.0,95.27521
135,11290780,91.82413,90.799194,76146306.0,61744823.0,24601997.0,41009349.618588865,100.0,66.7,100.0,95.2482
136,11290810,86.632416,99.87423,65595667.0,48700169.0,52163454.0,47981261.34800781,91.7,92.6,95.7,96.18679
137,11290,0.0,0.0,62022656.83,48405855.16,42037935.1,52007166.27570923,94.455401662,95.795238095,97.475842697,95.81804
138,11305534,93.051186,92.318275,33872968.0,24351191.0,25767945.0,41951181.1810376,100.0,92.3,100.0,95.40531
139,11305535,88.80566,102.63709,48664661.0,20119900.0,40868505.0,46273466.01690552,100.0,97.1,96.9,96.47254
140,11305545,100.49298,103.016335,67839638.0,41825233.0,47138367.0,51934843.02996582,92.0,96.2,100.0,96.511765
141,11305555,84.707924,99.95663,46934575.0,47183262.0,40836763.0,44694424.63096313,96.3,96.2,87.0,96.19531
142,11305575,101.68333,93.27577,83953971.0,65892797.0,41722055.0,51615099.25123046,100.0,100.0,77.8,95.50434
143,11305590,94.485504,104.3625,70418436.0,66693066.0,62346889.0,56431922.84410156,93.9,93.9,93.3,96.65099
144,11305600,87.77058,91.940216,49983180.0,51679925.0,41826748.0,45887076.13308594,100.0,100.0,100.0,95.36621
145,11305606,85.81026,94.90897,81271045.0,56057730.0,54220023.0,48931287.14482422,87.5,100.0,100.0,95.673256
146,11305610,88.97153,97.86385,64579913.0,47471404.0,46676774.0,44856356.25906982,94.7,100.0,95.7,95.97887
147,11305620,88.473854,96.19945,50180127.0,40700592.0,50379957.0,46246618.45490478,100.0,94.7,88.2,95.806725
148,11305630,113.38306,105.2905,74710866.0,54233706.0,55166706.0,59482207.409873046,97.0,97.1,100.0,96.74697
