CD,林芭牢备,流厘牢备
11110,153247.0714,311050.7297
11110515,13799.252559999999,7599.266472
11110530,9763.828588,69281.47712000001
11110540,3031.110236,4231.348518
11110550,10275.15539,3252.692153
11110560,19781.60155,2755.503241
11110570,6542.782754,635.4529808
11110580,10368.961940000001,3999.8085960000003
11110600,4285.2139210000005,21122.30277
11110615,7177.604762999999,145953.3303
11110630,5294.255968,18207.19742
11110640,8427.838466,17679.458469999998
11110650,16437.81167,4812.525240999999
11110670,5634.353838,3016.876856
11110680,9113.56673,639.9209916
11110690,7606.391343000001,464.829117
11110700,5442.631675,563.3993166
11110710,9338.618303,2680.141576
11140,119642.1953,506063.3208
11140520,1836.305544,139413.3514
11140540,4152.595207,68590.78689
11140550,2825.842205,149331.3674
11140570,3172.43734,19108.09265
11140580,6325.849667,13527.60685
11140590,4953.93668,38740.976160000006
11140605,1598.985643,28544.4917
11140615,7527.7603340000005,14335.02843
11140625,14004.10346,7766.973706999999
11140635,16858.58715,2712.8652620000003
11140645,14495.96365,2856.041772
11140650,11272.75129,2354.8250940000003
11140665,9020.660568000001,2131.683477
11140670,12406.69649,3241.652273
11140680,7415.951563,7447.454347
11170,230964.9934,178569.1505
11170510,18180.4447,3292.841194
11170520,10053.94786,2968.7004699999998
11170530,12468.41145,52698.48236
11170555,21211.54671,8556.984404
11170560,14007.761830000001,16340.553269999999
11170570,11580.17928,4075.125032
11170580,8210.678397,1701.4043809999998
11170590,12456.96271,1024.045575
11170625,13542.719819999998,60560.63252000001
11170630,37179.08743,2771.0541
11170640,9292.038518000001,503.93330589999994
11170650,6789.403642,5622.582499
11170660,9238.695908,2582.882262
11170685,19266.962880000003,14937.636040000001
11170690,17102.27436,5839.179626
11170700,11959.62699,787.7407649
11200,309775.8604,192197.6308
11200520,19297.73604,1304.749594
11200535,27046.47642,8349.730668
11200540,22288.52473,11178.68068
11200550,10558.81719,7313.526834
11200560,14443.475219999998,6266.633847
11200570,23101.988859999998,897.5124509
11200580,17172.76206,471.41323560000006
11200590,16464.6808,1007.935321
11200615,24348.15851,1217.3076529999998
11200620,13341.91559,838.8656453
11200645,43174.8486,3329.857838
11200650,14551.05999,6640.616278
11200660,13845.48677,15668.35537
11200670,18658.2383,44919.10632
11200690,10740.30649,48668.08593
11200720,14476.44713,2448.2226769999997
11200790,14897.80874,27241.95815
11215,339056.4267,77063.17908999999
11215710,22037.78807,6410.880346
11215730,20037.15039,6822.360059000001
11215740,16376.12419,4208.9755780000005
11215750,22628.65565,3930.1073590000005
11215760,17534.918709999998,2489.580976
11215770,31344.508710000002,2522.6806100000003
11215780,11575.73021,3278.4832579999998
11215810,29299.24429,6875.694946
11215820,20703.56464,9047.837379
11215830,27852.59417,5406.940597
11215840,32472.859419999997,3156.050624
11215847,18940.84891,2923.687423
11215850,22910.494580000002,4627.053218
11215860,25985.965780000002,3356.906989
11215870,20824.83075,9576.545887999999
11230,336343.6538,90282.12992
11230536,30836.29258,28668.400419999998
11230545,24058.05615,6055.09713
11230560,30633.508410000002,2877.7279949999997
11230570,17355.29109,2894.4425920000003
11230600,25629.11916,4930.609576
11230610,27917.344110000002,3851.855033
11230650,35263.06156,12915.82221
11230660,29483.72308,6689.338757
11230705,21816.323080000002,5756.013386
11230710,9213.292948999999,3759.536647
11230720,15807.79795,2104.7175399999996
11230730,21215.02835,3498.884136
11230740,28169.982460000003,5685.433114
11230750,21434.69496,985.8892789999999
11260,406056.2937,53784.42759
11260520,25610.20904,2624.8745129999998
11260540,27676.60078,2398.3978239999997
11260550,10857.46735,1143.289798
11260565,42666.0927,2918.550987
11260570,16007.22861,1077.806075
11260575,27210.38308,3643.235599
11260580,23644.85991,2906.258552
11260590,18904.0518,7809.272054999999
11260600,22153.04555,1946.4885149999998
11260610,28642.797489999997,4471.419260000001
11260620,36565.56565,3150.981136
11260630,20531.814280000002,1910.1032989999999
11260655,29327.85645,5382.065831
11260660,18625.83259,1736.8008079999997
11260680,43045.75039,7100.374140000001
11260690,23805.09663,4535.156923
11290,435034.1868,66690.15786
11290525,11955.99786,2857.766001
11290555,28457.11113,6704.1991880000005
11290575,15867.129340000001,6221.795547
11290580,16881.79708,1005.4755880000001
11290590,21796.96717,821.1067282
11290600,15420.236280000001,9863.283376000001
11290610,17146.29916,3648.5162530000002
11290620,19196.24533,1065.841268
11290630,24592.73721,1542.2547
11290640,18127.76496,3340.1534899999997
11290650,22641.09405,2392.454163
11290660,35348.41521,2160.382552
11290685,10518.12407,1544.246252
11290705,40006.78407,3805.6115130000003
11290715,26420.25202,3135.592177
11290725,20748.202569999998,5509.611886
11290760,20386.36246,923.4479681
11290770,16596.20594,2018.1787800000002
11290780,11540.44389,1594.7578859999999
11290810,32307.54442,4922.450618
11305,320557.6242,36271.1164
11305534,26818.628569999997,1417.9463039999998
11305535,25232.1267,2997.622958
11305545,27437.77561,3278.34738
11305555,27916.16081,3345.789782
11305575,34180.08275,1316.555492
11305590,20890.237230000002,4668.441609
11305600,16785.92289,2023.4954079999998
11305606,19497.55015,1503.667107
11305610,21097.843530000002,2893.08561
11305620,21563.96069,2012.3803030000001
11305630,23655.96262,4894.439817
11305645,20816.73102,2360.134298
11305660,36968.50014,3897.557058
11320,335571.4005,39271.84295
11320511,21414.695780000002,1458.282801
11320512,50767.44346,3721.8670520000005
11320513,15894.432030000002,1003.2925039999999
11320514,23757.47885,3175.471703
11320515,27079.72578,5305.694276
11320521,23312.95748,3342.227855
11320522,19672.60689,3540.311144
11320660,22794.946509999998,2537.9223629999997
11320670,20024.84316,3018.443261
11320680,17057.95784,2135.21581
11320681,18050.40236,1148.470716
11320690,20067.11558,3465.2831439999995
11320700,14523.773659999999,876.9729714
11320710,41844.12023,2624.677061
11350,540634.1809,68360.75536
11350560,23865.508719999998,2660.816746
11350570,26179.4942,2143.5441309999997
11350580,30501.613489999996,1683.986238
11350595,43821.22638,10667.73305
11350600,38260.9837,6121.3410380000005
11350611,29553.84509,8096.625561
11350612,23844.66885,647.1061014
11350619,25128.39562,2342.9717570000003
11350621,28709.27194,1562.622096
11350624,22978.550209999998,2399.047599
11350625,37630.191060000005,2800.9782760000003
11350630,45920.66669,6777.945733
11350640,20781.11044,4511.057003
11350665,30358.46668,3413.9839909999996
11350670,20474.32032,2086.6377820000002
11350695,27259.977560000003,6852.535106
11350700,24800.34742,1147.821095
11350710,21921.41562,1269.25735
11350720,17108.499180000003,1000.6952039999999
11380,458409.9607,49044.4877
11380510,29732.98249,6651.870495
11380520,32204.65595,2793.943386
11380530,32122.036030000003,2812.485057
11380551,25769.46792,2379.507379
11380552,28480.13573,3136.811348
11380560,35139.92509,4423.94045
11380570,31913.25907,3504.550631
11380580,27439.5473,4138.783294
11380590,18958.05472,1376.771183
11380600,22724.80685,2043.733743
11380625,50516.00581,4208.903192
11380631,28163.27422,2100.26011
11380632,20624.81678,1718.8933600000003
11380640,14936.87105,2031.2610940000002
11380650,12586.694870000001,1551.96562
11380690,50124.72128,4423.773426
11410,312811.0989,75541.91906
11410520,20932.27233,1759.56003
11410555,17213.80984,1294.623609
11410565,17823.18406,24784.95062
11410585,19349.986390000002,21489.951240000002
11410615,38351.24891,9058.184075
11410620,18942.59484,1497.008235
11410640,11892.492320000001,1170.506314
11410655,21891.65281,1667.141575
11410660,22879.86591,1449.510183
11410685,28977.253269999997,3519.5207200000004
11410690,18401.51414,1418.171692
11410700,21739.507709999998,1564.21153
11410710,17136.67832,1733.8010350000002
11410720,36633.019510000006,2763.538096
11440,360220.6139,213568.629
11440555,23405.498219999998,19188.44075
11440565,43062.82814,12380.08144
11440585,16172.83293,11182.76905
11440590,18438.907369999997,17095.48017
11440600,12278.61929,6079.034474
11440610,9346.380373,6191.800961999999
11440630,18071.18779,3665.764715
11440655,19282.75528,7463.228526000001
11440660,24784.05093,49629.41866
11440680,17663.231659999998,10544.783309999999
11440690,21541.324569999997,2967.536288
11440700,10846.28912,1452.929695
11440710,16554.24349,4958.193915
11440720,18541.23553,8334.862152
11440730,42154.357560000004,9830.540911
11440740,36234.97703,39593.383630000004
11470,446980.6134,69234.36847999999
11470510,25919.05831,12857.30911
11470520,31353.744489999997,2615.584924
11470530,21843.30881,2390.137204
11470540,26427.20999,2093.000329
11470550,38262.14315,5508.924257
11470560,22513.16931,2751.055702
11470570,22417.35456,2161.591081
11470580,15668.21725,2475.255385
11470590,21258.97445,2232.723128
11470600,20059.404280000002,3578.1283740000003
11470610,6405.736947,1148.3043380000001
11470611,21732.62087,3031.039479
11470620,20749.70941,2622.045719
11470630,18305.77867,1652.641433
11470640,47220.56552,6279.657997
11470650,35949.86381,7984.4661719999995
11470670,24436.392359999998,5696.494597
11470680,32030.133410000002,2116.235124
11500,574216.8836,187099.5287
11500510,36249.00023,10879.41015
11500520,20370.92299,26931.08153
11500530,22371.20219,2421.3536489999997
11500535,24138.49164,13888.921180000001
11500540,50319.373139999996,4635.505508
11500550,20457.72386,1660.238433
11500560,22269.645230000002,2435.278784
11500570,21500.667869999997,1847.608558
11500590,39543.577769999996,2588.034357
11500591,26334.43648,10727.76197
11500593,24868.16124,1668.84106
11500603,30737.421430000002,21145.74866
11500604,16093.194669999999,2224.9395870000003
11500605,23449.75362,8165.961095999999
11500611,37786.70235,7282.066637999999
11500615,48835.0668,4972.710982
11500620,29896.854260000004,41786.23725
11500630,33689.01277,7561.274804000001
11500640,27805.36216,4544.752806
11500641,30264.69121,4010.895576
11530,402346.3742,172162.27800000002
11530510,38826.62925,10402.61056
11530520,21953.21019,2403.243202
11530530,25369.990469999997,26592.04228
11530540,24649.99095,78091.54254
11530550,18773.835730000003,2281.133004
11530560,29251.351860000002,19241.05948
11530595,9573.037708,1492.239345
11530720,24873.74242,6598.553628000001
11530730,29295.711580000003,2004.957014
11530740,37249.30339,3449.507985
11530750,31463.298789999997,1378.294288
11530760,21990.447809999998,4790.01782
11530770,18380.92006,2450.511222
11530780,46281.542219999996,4838.074191
11530790,24957.77055,4157.970542
11545,236158.0979,189254.2225
11545510,22225.331869999998,151824.2801
11545610,38644.06779,18419.18505
11545620,20554.61154,1668.0575529999999
11545630,23919.77161,4518.127082
11545640,16241.2876,1734.8094059999999
11545670,40860.05446,11790.19126
11545680,24713.08166,1470.811674
11545690,9183.685145,7116.107547
11545700,23670.32695,929.8488129000001
11545710,18460.23449,1944.94658
11560,415301.6322,551345.3570000001
11560515,28491.795739999998,3144.9312809999997
11560535,22153.814290000002,21997.0485
11560540,40802.61821,356983.4375
11560550,20879.915119999998,18402.17725
11560560,35565.092130000005,30314.95392
11560585,30801.96208,3418.590468
11560605,27295.204139999998,35271.12556
11560610,17476.07159,19650.840119999997
11560620,25975.751930000002,40479.13266
11560630,14929.64873,3268.483103
11560650,16073.755469999998,1615.0175869999998
11560660,11073.917609999999,1315.701384
11560670,10021.71004,1227.841015
11560680,18329.68691,2817.553124
11560690,17003.77118,2929.1448379999997
11560700,13417.081559999999,2691.756687
11560710,12323.17078,2127.2595929999998
11560720,24567.56242,8140.020473999999
11590,366898.4433,67263.32857
11590510,26915.8994,3613.256607
11590520,15079.08266,5466.50299
11590530,47220.73062,4941.527894
11590540,32930.25256,3548.190281
11590550,23367.64779,1274.45075
11590560,23319.41822,1440.340298
11590605,23928.53247,4828.393828
11590620,28972.57807,6636.233114
11590630,25104.48884,3524.948424
11590640,25020.528290000002,2653.3664280000003
11590650,12836.77204,900.6096672
11590651,10961.67157,833.2220163
11590660,39126.91693,9513.9634
11590670,22134.87915,2752.9549399999996
11590680,21558.91361,19060.01439
11620,498913.1969,68236.00752999999
11620525,24586.60454,5375.123845
11620545,17267.01327,663.5495976
11620565,32365.31177,1651.061995
11620575,29115.4162,3774.202582
11620585,15927.9638,12115.87824
11620595,28114.18609,7671.665244
11620605,37275.492060000004,3760.6223950000003
11620615,15416.268540000001,2045.5111960000002
11620625,41380.66305,3764.92205
11620630,14608.806519999998,3330.717975
11620645,23215.08036,4236.645973
11620655,18796.24487,977.5730041000002
11620665,24573.069669999997,1614.738324
11620685,24213.52437,2190.532317
11620695,22212.005530000002,2786.871684
11620715,16891.80861,1398.7560119999998
11620725,18252.87441,3983.6400439999998
11620735,24271.678930000002,2338.20552
11620745,26703.22896,1160.786838
11620765,32533.29891,3216.571976
11620775,28445.414510000002,1108.2629029999998
11650,428040.8472,483615.2277
11650510,21572.92096,40616.30555
11650520,17651.7838,58455.77873
11650530,28521.94918,73209.98159
11650531,29667.614439999998,26284.2643
11650540,32464.972360000003,19334.040259999998
11650550,8472.067990000001,1017.2712550000001
11650560,28069.5898,8357.411781
11650570,25130.67844,2271.7300579999996
11650580,18380.78995,8023.061714
11650581,19529.12596,32776.77692
11650590,21427.81872,7703.586394
11650600,17360.87903,11163.09687
11650610,26434.26889,13628.66345
11650620,21841.10494,9806.555616
11650621,26036.715490000002,12697.00554
11650651,46956.43952,37080.0561
11650652,23871.54956,121874.6822
11650660,17838.52121,6250.259463
11680,557954.6233,834672.2438
11680510,19189.49633,34695.81932
11680521,23291.04035,42061.79321
11680531,22116.6326,66064.14792999999
11680545,28006.23575,34873.81518
11680565,28708.93153,43973.52798
11680580,14725.24757,93347.19183
11680590,29418.45025,58201.90556
11680600,25094.00436,3779.438802
11680610,39999.51074,62331.60052000001
11680630,21189.26713,27739.78643
11680640,35210.43032,187346.533
11680650,37031.53173,49498.10693
11680655,22566.33197,13865.33841
11680656,29900.34622,29740.23328
11680660,17205.61969,1879.397129
11680670,11782.4832,2215.170928
11680690,17764.16649,9109.192808
11680700,48171.82178,5325.5714100000005
11680720,26936.86235,8737.011653
11680730,16487.22212,3534.847999
11680740,18474.48682,15850.54665
11680750,14365.99161,16382.08849
11710,666525.7564,310177.7859
11710510,11462.400959999999,1025.223005
11710520,19609.94326,10893.352509999999
11710531,11332.73604,3111.923124
11710532,17891.60194,2393.097877
11710540,21711.61711,1202.051103
11710550,21457.59207,3074.4695739999997
11710561,14199.23432,5453.90812
11710562,26129.16401,14946.95835
11710566,19424.0307,4478.675956
11710570,38505.60371,12579.57047
11710580,28817.23575,7542.423317
11710590,17569.558,4346.557319
11710600,34236.75514,9005.593234
11710610,31634.8544,7475.084061
11710620,30278.844689999998,27024.79791
11710631,868.7727332000001,10710.585659999999
11710632,34824.084610000005,7418.476602
11710641,19800.86742,6026.068927
11710642,26851.662989999997,42688.81841
11710646,36774.97531,8573.073598
11710647,28184.3684,2234.635808
11710650,24036.92787,11744.19823
11710670,27881.052860000003,2548.30482
11710680,35977.82517,5120.050604999999
11710690,56224.53092999999,1924.019228
11710710,32116.87327,169892.7116
11710720,9023.89305,588.4374703999999
11740,414195.7888,89963.30754
11740515,24841.360940000002,10078.54658
11740520,15718.02749,5430.104782
11740530,21550.39633,3258.642136
11740540,18954.55325,2601.564044
11740550,24567.61243,1439.122191
11740560,6516.372457,1272.89202
11740570,51773.18565,3366.541796
11740580,7441.586501000001,1292.169941
11740590,25743.84105,1628.047478
11740600,30858.13155,2855.604559
11740610,30617.84358,6544.160477
11740620,38401.94925,5887.716217
11740640,18081.69954,17010.556819999998
11740650,26991.70071,4017.0052130000004
11740660,26236.81993,6516.348818
11740685,66565.30437,14206.1099
11740690,134.31989130000002,330.1603435
11740700,17517.48899,4157.610454
