CD,Æó¾÷·ü
11110.0,2.7
11110515.0,9.1
11110530.0,3.8
11110540.0,0.0
11110550.0,0.0
11110560.0,0.0
11110570.0,0.0
11110580.0,0.0
11110600.0,0.0
11110615.0,3.8
11110630.0,4.0
11110640.0,11.1
11110650.0,0.0
11110670.0,0.0
11110680.0,0.0
11110690.0,0.0
11110700.0,0.0
11110710.0,0.0
11140.0,4.9
11140520.0,1.9
11140540.0,4.7
11140550.0,9.1
11140570.0,0.0
11140580.0,0.0
11140590.0,4.3
11140605.0,6.5
11140615.0,2.6
11140625.0,6.3
11140635.0,0.0
11140645.0,14.3
11140650.0,14.3
11140665.0,7.7
11140670.0,0.0
11140680.0,7.1
11170.0,3.4
11170510.0,0.0
11170520.0,5.9
11170530.0,0.0
11170555.0,3.6
11170560.0,0.0
11170570.0,0.0
11170580.0,10.0
11170590.0,14.3
11170625.0,6.5
11170630.0,0.0
11170640.0,0.0
11170650.0,0.0
11170660.0,13.3
11170685.0,0.0
11170690.0,0.0
11170700.0,9.1
11200.0,1.8
11200520.0,0.0
11200535.0,0.0
11200540.0,7.1
11200550.0,2.9
11200560.0,11.1
11200570.0,0.0
11200580.0,0.0
11200590.0,9.1
11200615.0,0.0
11200620.0,0.0
11200645.0,0.0
11200650.0,0.0
11200660.0,0.0
11200670.0,0.0
11200690.0,0.0
11200720.0,0.0
11200790.0,5.6
11215.0,5.1
11215710.0,3.2
11215730.0,0.0
11215740.0,0.0
11215750.0,15.4
11215760.0,10.0
11215770.0,8.0
11215780.0,10.0
11215810.0,7.1
11215820.0,0.0
11215830.0,4.8
11215840.0,7.1
11215847.0,3.0
11215850.0,3.6
11215860.0,0.0
11215870.0,6.5
11230.0,3.0
11230536.0,1.6
11230545.0,3.7
11230560.0,0.0
11230570.0,0.0
11230600.0,9.4
11230610.0,0.0
11230650.0,5.6
11230660.0,2.9
11230705.0,0.0
11230710.0,8.0
11230720.0,0.0
11230730.0,6.3
11230740.0,0.0
11230750.0,0.0
11260.0,3.0
11260520.0,4.8
11260540.0,0.0
11260550.0,0.0
11260565.0,0.0
11260570.0,5.9
11260575.0,0.0
11260580.0,0.0
11260590.0,2.9
11260600.0,0.0
11260610.0,6.7
11260620.0,0.0
11260630.0,15.4
11260655.0,0.0
11260660.0,0.0
11260680.0,15.0
11260690.0,0.0
11290.0,5.5
11290525.0,5.6
11290555.0,5.6
11290575.0,4.9
11290580.0,0.0
11290590.0,0.0
11290600.0,6.1
11290610.0,0.0
11290620.0,18.2
11290630.0,0.0
11290640.0,0.0
11290650.0,0.0
11290660.0,16.7
11290685.0,14.3
11290705.0,10.7
11290715.0,0.0
11290725.0,8.0
11290760.0,0.0
11290770.0,9.1
11290780.0,0.0
11290810.0,8.3
11305.0,3.0
11305534.0,0.0
11305535.0,0.0
11305545.0,8.0
11305555.0,3.7
11305575.0,0.0
11305590.0,6.1
11305600.0,0.0
11305606.0,12.5
11305610.0,5.3
11305620.0,0.0
11305630.0,3.0
11305645.0,0.0
11305660.0,0.0
11320.0,4.1
11320511.0,0.0
11320512.0,0.0
11320513.0,9.1
11320514.0,5.9
11320515.0,0.0
11320521.0,0.0
11320522.0,7.7
11320660.0,5.6
11320670.0,28.6
11320680.0,0.0
11320681.0,0.0
11320690.0,0.0
11320700.0,8.3
11320710.0,0.0
11350.0,4.0
11350560.0,0.0
11350570.0,0.0
11350580.0,0.0
11350595.0,2.1
11350600.0,7.3
11350611.0,0.0
11350612.0,0.0
11350619.0,0.0
11350621.0,0.0
11350624.0,9.1
11350625.0,0.0
11350630.0,14.8
11350640.0,4.0
11350665.0,6.7
11350670.0,8.3
11350695.0,7.1
11350700.0,0.0
11350710.0,0.0
11350720.0,0.0
11380.0,4.5
11380510.0,0.0
11380520.0,15.4
11380530.0,0.0
11380551.0,4.8
11380552.0,5.9
11380560.0,0.0
11380570.0,6.1
11380580.0,3.7
11380590.0,25.0
11380600.0,7.1
11380625.0,4.9
11380631.0,10.0
11380632.0,0.0
11380640.0,0.0
11380650.0,0.0
11380690.0,3.1
11410.0,2.7
11410520.0,0.0
11410555.0,0.0
11410565.0,7.4
11410585.0,2.4
11410615.0,2.7
11410620.0,0.0
11410640.0,9.1
11410655.0,0.0
11410660.0,0.0
11410685.0,0.0
11410690.0,0.0
11410700.0,0.0
11410710.0,10.0
11410720.0,3.1
11440.0,4.3
11440555.0,4.5
11440565.0,6.7
11440585.0,0.0
11440590.0,3.4
11440600.0,4.9
11440610.0,0.0
11440630.0,0.0
11440655.0,7.3
11440660.0,6.1
11440680.0,3.4
11440690.0,0.0
11440700.0,0.0
11440710.0,3.8
11440720.0,3.2
11440730.0,10.0
11440740.0,1.9
11470.0,3.8
11470510.0,5.6
11470520.0,4.0
11470530.0,0.0
11470540.0,4.8
11470550.0,5.3
11470560.0,0.0
11470570.0,0.0
11470580.0,0.0
11470590.0,6.7
11470600.0,6.3
11470610.0,0.0
11470611.0,0.0
11470620.0,0.0
11470630.0,8.3
11470640.0,5.3
11470650.0,4.2
11470670.0,0.0
11470680.0,9.1
11500.0,2.2
11500510.0,8.0
11500520.0,0.0
11500530.0,0.0
11500535.0,0.0
11500540.0,1.7
11500550.0,0.0
11500560.0,0.0
11500570.0,0.0
11500590.0,0.0
11500591.0,0.0
11500593.0,0.0
11500603.0,5.7
11500604.0,0.0
11500605.0,0.0
11500611.0,4.2
11500615.0,3.3
11500620.0,0.0
11500630.0,2.8
11500640.0,3.7
11500641.0,0.0
11530.0,2.5
11530510.0,3.2
11530520.0,9.1
11530530.0,0.0
11530540.0,2.8
11530550.0,0.0
11530560.0,0.0
11530595.0,5.9
11530720.0,8.3
11530730.0,4.3
11530740.0,4.8
11530750.0,0.0
11530760.0,0.0
11530770.0,0.0
11530780.0,4.0
11530790.0,0.0
11545.0,4.7
11545510.0,3.8
11545610.0,3.0
11545620.0,7.1
11545630.0,5.9
11545640.0,15.4
11545670.0,5.1
11545680.0,0.0
11545690.0,0.0
11545700.0,9.1
11545710.0,0.0
11560.0,4.1
11560515.0,13.0
11560535.0,1.4
11560540.0,4.2
11560550.0,6.1
11560560.0,7.5
11560585.0,0.0
11560605.0,2.5
11560610.0,5.0
11560620.0,7.7
11560630.0,5.6
11560650.0,10.0
11560660.0,16.7
11560670.0,0.0
11560680.0,0.0
11560690.0,0.0
11560700.0,0.0
11560710.0,0.0
11560720.0,0.0
11590.0,3.2
11590510.0,0.0
11590520.0,4.5
11590530.0,2.1
11590540.0,9.1
11590550.0,0.0
11590560.0,0.0
11590605.0,0.0
11590620.0,10.0
11590630.0,0.0
11590640.0,7.7
11590650.0,0.0
11590651.0,0.0
11590660.0,8.3
11590670.0,0.0
11590680.0,0.0
11620.0,4.0
11620525.0,6.3
11620545.0,0.0
11620565.0,0.0
11620575.0,2.9
11620585.0,0.0
11620595.0,7.0
11620605.0,0.0
11620615.0,5.0
11620625.0,0.0
11620630.0,0.0
11620645.0,0.0
11620655.0,10.0
11620665.0,4.5
11620685.0,3.7
11620695.0,4.5
11620715.0,0.0
11620725.0,8.7
11620735.0,4.7
11620745.0,0.0
11620765.0,9.5
11620775.0,9.5
11650.0,2.9
11650510.0,8.6
11650520.0,4.5
11650530.0,3.5
11650531.0,2.7
11650540.0,2.7
11650550.0,0.0
11650560.0,7.1
11650570.0,0.0
11650580.0,0.0
11650581.0,0.0
11650590.0,12.5
11650600.0,5.9
11650610.0,0.0
11650620.0,0.0
11650621.0,0.0
11650651.0,0.0
11650652.0,0.0
11650660.0,0.0
11680.0,3.7
11680510.0,6.0
11680521.0,3.6
11680531.0,2.6
11680545.0,5.4
11680565.0,0.0
11680580.0,3.5
11680590.0,5.5
11680600.0,8.7
11680610.0,2.0
11680630.0,6.1
11680640.0,3.1
11680650.0,5.4
11680655.0,3.6
11680656.0,4.2
11680660.0,0.0
11680670.0,8.3
11680690.0,3.4
11680700.0,0.0
11680720.0,0.0
11680730.0,8.3
11680740.0,0.0
11680750.0,0.0
11710.0,3.6
11710510.0,0.0
11710520.0,0.0
11710531.0,7.1
11710532.0,0.0
11710540.0,9.1
11710550.0,11.1
11710561.0,0.0
11710562.0,2.6
11710566.0,0.0
11710570.0,2.8
11710580.0,3.8
11710590.0,8.3
11710600.0,4.3
11710610.0,2.8
11710620.0,2.3
11710631.0,0.0
11710632.0,0.0
11710641.0,5.0
11710642.0,5.8
11710646.0,8.3
11710647.0,12.5
11710650.0,4.8
11710670.0,0.0
11710680.0,0.0
11710690.0,0.0
11710710.0,0.0
11710720.0,0.0
11740.0,3.8
11740515.0,8.7
11740520.0,9.1
11740530.0,0.0
11740540.0,0.0
11740550.0,0.0
11740560.0,0.0
11740570.0,0.0
11740580.0,10.0
11740590.0,0.0
11740600.0,0.0
11740610.0,7.8
11740620.0,3.3
11740640.0,11.5
11740650.0,12.0
11740660.0,2.9
11740685.0,0.0
11740690.0,0.0
11740700.0,0.0
