지역,행정동코드,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,2020년2분기주거인구,2020년2분기직장인구,면적,직장인구,주거인구,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,대규모점포 인허가 수,편의점 수
종로구,11110.0,"73,062","76,900",37503.0,14341.0,10697.0,8837.0,2364.0,8185.0,11918.0,28260.0,21719.0,23751.0,26807.0,20050.0,12677.0,5831.0,1055.0,63.57585916,98.95773621,2391.0,236607.9473,152009.8793,,,,,,,23.0,347.0
중구,11140.0,"61,651","64,339",31643.0,13498.0,9121.0,6839.0,1660.0,7639.0,7628.0,21809.0,22296.0,19779.0,22495.0,17865.0,10726.0,4731.0,864.0,125.3439675,336.47173819999995,996.0,335125.8512,124842.5916,,,,,,,63.0,450.0
용산구,11170.0,"110,403","118,959",53405.0,23093.0,17159.0,13372.0,3444.0,15265.0,17019.0,36195.0,42354.0,39125.0,38792.0,28862.0,17384.0,8411.0,1590.0,106.23687859999998,82.69724128,2187.0,180858.8667,232340.0535,,,,,,,21.0,303.0
성동구,11200.0,"144,701","151,482",56420.0,29972.0,24552.0,19422.0,4264.0,21393.0,21149.0,48504.0,51211.0,46923.0,49097.0,36246.0,20625.0,8309.0,1150.0,181.82016950000002,48.71867799,1686.0,82139.69109,306548.8058,,,,,,,22.0,318.0
광진구,11215.0,"168,472","180,175",76534.0,34026.0,26435.0,22936.0,4902.0,21340.0,27305.0,67609.0,59631.0,55182.0,57924.0,42519.0,22348.0,8598.0,1257.0,197.9930994,45.95160093,1706.0,78393.43119,337776.2276,,,,,,,27.0,388.0
동대문구,11230.0,"170,926","173,724",78266.0,33984.0,26184.0,21335.0,5158.0,21886.0,25147.0,65016.0,53080.0,52664.0,55230.0,46115.0,28170.0,11179.0,1591.0,235.118246,55.33255347,1422.0,78682.89103,334338.1458,,,,,,,34.0,386.0
중랑구,11260.0,"195,931","199,857",77396.0,42377.0,31588.0,24642.0,5790.0,23988.0,27733.0,57116.0,59608.0,59095.0,70915.0,56852.0,31006.0,11334.0,1569.0,216.6574787,21.50170869,1850.0,39778.16108,400816.3356,,,,,,,16.0,311.0
성북구,11290.0,"212,559","227,836",77396.0,41884.0,35441.0,31054.0,7217.0,30395.0,38926.0,72981.0,63037.0,72241.0,70483.0,54239.0,33774.0,13854.0,1984.0,170.64563869999998,44.79305959,2457.0,110056.5474,419276.3343,,,,,,,44.0,356.0
강북구,11305.0,"151,376","159,179",61479.0,34556.0,24953.0,18768.0,4518.0,16834.0,22877.0,44359.0,40680.0,48595.0,53892.0,45337.0,29986.0,11122.0,1467.0,132.9142607,11.95121909,2360.0,28204.87705,313677.6553,,,,,,,25.0,272.0
도봉구,11320.0,"160,089","167,925",46140.0,34302.0,28278.0,23352.0,5376.0,19814.0,26587.0,44992.0,42735.0,50074.0,58107.0,48828.0,27542.0,11264.0,1629.0,159.96591030000002,17.47123677,2066.0,36095.57517,330489.5707,,,,,,,16.0,232.0
노원구,11350.0,"254,463","272,255",70945.0,49730.0,44406.0,41982.0,8733.0,34941.0,55046.0,75765.0,67261.0,88672.0,88811.0,66652.0,37222.0,16001.0,2397.0,150.2386005,15.98857145,3544.0,56663.497220000005,532445.6002,,,,,,,25.0,356.0
은평구,11380.0,"231,508","250,221",79784.0,49503.0,39388.0,31859.0,7786.0,30994.0,39715.0,67294.0,70240.0,78157.0,77902.0,63029.0,38857.0,15261.0,2075.0,152.8293244,15.71105359,2971.0,46677.540219999995,454055.9228,,,,,,,34.0,374.0
서대문구,11410.0,"149,803","162,829",61198.0,30545.0,24575.0,20711.0,4830.0,20805.0,24930.0,56034.0,47090.0,49044.0,50496.0,38320.0,24602.0,11015.0,1603.0,178.2712157,38.22808866,1763.0,67396.12031,314292.1533,,,,,,,12.0,326.0
마포구,11440.0,"176,174","197,446",81156.0,36658.0,28568.0,24268.0,5371.0,26218.0,29525.0,66271.0,67569.0,63151.0,55394.0,39401.0,24650.0,10828.0,1622.0,126.94547179999999,58.08825761,2385.0,138540.4944,302764.9502,,,,,,,29.0,543.0
양천구,11470.0,"224,271","232,709",52468.0,39088.0,38643.0,39063.0,8246.0,33099.0,51568.0,61331.0,60458.0,80850.0,77951.0,56450.0,27988.0,10494.0,1671.0,256.36073,78.11279505,1741.0,135994.3762,446324.0309,,,,,,,26.0,318.0
강서구,11500.0,"282,647","302,273",107620.0,59609.0,46970.0,39512.0,9097.0,42273.0,46228.0,88166.0,102582.0,93524.0,89165.0,75698.0,38516.0,14403.0,2419.0,137.49511850000002,34.80436212,4144.0,144229.2766,569779.7711,,,,,,,34.0,572.0
구로구,11530.0,"200,251","205,244",68192.0,41158.0,32729.0,27843.0,6570.0,31349.0,31538.0,57906.0,69640.0,69788.0,74006.0,58281.0,31515.0,11056.0,1460.0,197.6653795,69.68257697,2012.0,140201.3449,397702.7436,,,,,,,51.0,369.0
금천구,11545.0,"117,497","114,516",52320.0,24765.0,17378.0,13770.0,3348.0,14517.0,15628.0,37816.0,38806.0,37046.0,47228.0,34260.0,17969.0,6290.0,820.0,184.09919969999999,100.0043668,1302.0,130205.6856,239697.158,,,,,,,29.0,303.0
영등포구,11560.0,"185,603","189,530",84507.0,36497.0,28444.0,23612.0,5208.0,27528.0,25427.0,60160.0,73224.0,61745.0,67471.0,49574.0,27149.0,11062.0,1542.0,169.1832823,184.71173169999997,2455.0,453467.3013,415344.958,,,,,,,42.0,530.0
동작구,11590.0,"190,754","203,364",80504.0,38324.0,30910.0,26154.0,5940.0,26139.0,29069.0,71224.0,65149.0,61298.0,61333.0,49314.0,29608.0,11581.0,1750.0,226.72527390000002,44.41088879,1635.0,72611.80317,370695.8228,,,,,,,19.0,341.0
관악구,11620.0,"250,520","248,796",157514.0,50306.0,32489.0,25540.0,6058.0,24573.0,30328.0,112950.0,91661.0,72215.0,73133.0,59888.0,36974.0,12607.0,1673.0,168.2174696,24.63703891,2957.0,72851.72406000001,497419.0576,,,,,,,25.0,459.0
서초구,11650.0,"204,280","222,957",59312.0,34979.0,34214.0,34591.0,8153.0,35283.0,45642.0,56849.0,66465.0,79028.0,63658.0,47389.0,27178.0,9538.0,1812.0,88.77259356,120.97943899999999,4698.0,568361.4044,417053.6445,,,,,,,31.0,518.0
강남구,11680.0,"258,407","281,741",93397.0,44204.0,41235.0,42381.0,9350.0,37895.0,59493.0,76459.0,85461.0,100336.0,80573.0,58529.0,33556.0,11373.0,2199.0,142.0864184,293.28285550000004,3950.0,1158467.279,561241.3527,,,,,,,54.0,951.0
송파구,11710.0,"324,134","347,178",97868.0,59598.0,55402.0,52580.0,11465.0,52459.0,60203.0,96080.0,114622.0,110971.0,105028.0,82697.0,39523.0,13773.0,2426.0,201.3589141,119.14910659999998,3387.0,403558.0241,682002.6421,,,,,,,46.0,644.0
강동구,11740.0,"225,103","232,227",67911.0,43223.0,37911.0,34317.0,7670.0,35110.0,39643.0,61983.0,72779.0,74415.0,73890.0,61657.0,29875.0,10118.0,1835.0,163.9772143,29.43245168,2459.0,72374.39868,403219.97,,,,,,,42.0,399.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
